"","SWTI","SWTII","SWTIII","UUCP","AFP","COSMIC","SLOC","LOG_SLOC"
"SWTI",NA,0,0,0.026,0,0,0,0.015
"SWTII",0,NA,0,0.017,0,0,0,0.015
"SWTIII",0,0,NA,0.004,0,0,0,0.006
"UUCP",0.026,0.017,0.004,NA,0.007,0.129,0.003,0.003
"AFP",0,0,0,0.007,NA,0.001,0.001,0.008
"COSMIC",0,0,0,0.129,0.001,NA,0.005,0.013
"SLOC",0,0,0,0.003,0.001,0.005,NA,0
"LOG_SLOC",0.015,0.015,0.006,0.003,0.008,0.013,0,NA
