"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d","index"
"87","SWTIII","UCP","mae","+","21929.13","30678.75","0.01","0.28","1","-1.17","SWTIII-UCP-mae"
"4","SWTIII","IFPUG","mmre","+","    0.88","    1.55","0.02","0.28","1","-1.41","SWTIII-IFPUG-mmre"
"10","SWTII","IFPUG","mmre","+","    0.89","    1.55","0.02","0.28","1","-1.42","SWTII-IFPUG-mmre"
"15","SWTI","IFPUG","mmre","+","    0.88","    1.55","0.02","0.28","1","-1.45","SWTI-IFPUG-mmre"
"88","SWTIII","IFPUG","mae","+","21929.13","23507.46","0.02","0.28","1","-0.24","SWTIII-IFPUG-mae"
"93","SWTII","UCP","mae","+","23555.29","30678.75","0.02","0.28","1","-1.00","SWTII-UCP-mae"
"94","IFPUG","SWTII","mae","+","23507.46","23555.29","0.02","0.28","1","-0.01","IFPUG-SWTII-mae"
"3","SWTIII","UCP","mmre","+","    0.88","    2.59","0.03","0.28","1","-2.06","SWTIII-UCP-mmre"
"9","SWTII","UCP","mmre","+","    0.89","    2.59","0.03","0.28","1","-2.06","SWTII-UCP-mmre"
"60","SWTIII","IFPUG","mdmre","+","    0.68","    1.09","0.03","0.28","1","-1.16","SWTIII-IFPUG-mdmre"
"5","SWTIII","COSMIC","mmre","+","    0.88","    1.44","0.04","0.28","1","-1.20","SWTIII-COSMIC-mmre"
"11","SWTII","COSMIC","mmre","+","    0.89","    1.44","0.04","0.28","1","-1.20","SWTII-COSMIC-mmre"
"14","SWTI","UCP","mmre","+","    0.88","    2.59","0.04","0.28","1","-2.08","SWTI-UCP-mmre"
"58","SWTIII","SWTI","mdmre","+","    0.68","    0.79","0.04","0.28","1","-0.89","SWTIII-SWTI-mdmre"
"71","SWTI","IFPUG","mdmre","+","    0.79","    1.09","0.04","0.28","1","-0.85","SWTI-IFPUG-mdmre"
