id,element,useCase,type,component
1,Actor:Log In Screen,Log In to Account,boundary,SignupScreen
2,Verify Password:Account,Log In to Account,entity,Account
3,Display pop-p "Authentication Failed" on Log In Screen:Log In Screen,Log In to Account,boundary,SignupScreen
4,Verify Password:Display pop-p "Authentication Failed" on Log In Screen,Log In to Account,control,DisplaypoppAuthenticationFailedonLogInScreen
5,Verify Username:Display pop-p "Authentication Failed" on Log In Screen,Log In to Account,control,DisplaypoppAuthenticationFailedonLogInScreen
6,Log In Screen:Verify Username,Log In to Account,control,VerifyUsername
7,User:Log In Screen,Log In to Account,boundary,SignupScreen
8,Verify Username:User Collection,Log In to Account,control,canceldeletion
9,Verify Password:User Collection,Log In to Account,control,canceldeletion
10,Verify Username:Verify Password,Log In to Account,control,VerifyUsername
11,stl#Actor:Log In Screen,Log In to Account,Stimulus,undefined
12,stl#User:Log In Screen,Log In to Account,Stimulus,undefined
