id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,invalid search string,boundary,0,2,Advanced Search Functionality,Advanced Search Functionality,
2,search people company group by options,control,1,1,Advanced Search Functionality,Advanced Search Functionality,
3,No matched results,boundary,0,2,Advanced Search Functionality,Advanced Search Functionality,
4,group,entity,0,1,Advanced Search Functionality,Advanced Search Functionality,
5,company,entity,0,1,Advanced Search Functionality,Advanced Search Functionality,
6,redirected to advanced search page,control,1,1,Advanced Search Functionality,Advanced Search Functionality,
7,advanced search button,boundary,1,1,Advanced Search Functionality,Advanced Search Functionality,
8,empty list of search results,boundary,0,2,Advanced Search Functionality,Advanced Search Functionality,
9,check validity of search string,control,2,2,Advanced Search Functionality,Advanced Search Functionality,
10,people,entity,0,1,Advanced Search Functionality,Advanced Search Functionality,
11,Matched results,boundary,0,2,Advanced Search Functionality,Advanced Search Functionality,
12,SQl injection protection,control,7,1,Advanced Search Functionality,Advanced Search Functionality,
13,advanced search page,boundary,1,2,Advanced Search Functionality,Advanced Search Functionality,
14,User,actor,6,0,Advanced Search Functionality,Advanced Search Functionality,
