id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,load email template,control,2,1,Mass Email,Mass Email,
2,email template,entity,0,1,Mass Email,Mass Email,
3,Case manager,actor,5,0,Mass Email,Mass Email,
4,General staff,actor,5,0,Mass Email,Mass Email,
5,Email protocol,actor,0,1,Mass Email,Mass Email,
6,find email address of the selected youth,control,2,1,Mass Email,Mass Email,
7,Email sent success message,boundary,0,4,Mass Email,Mass Email,
8,Add activities to case,control,3,1,Mass Email,Mass Email,
9,unauthorized access error,boundary,0,4,Mass Email,Mass Email,
10,Case,entity,0,1,Mass Email,Mass Email,
11,send email,control,2,1,Mass Email,Mass Email,
12,user,entity,0,1,Mass Email,Mass Email,
13,send email page,boundary,1,4,Mass Email,Mass Email,
14,unauthorized error message,boundary,0,4,Mass Email,Mass Email,
15,validate role of user,control,2,1,Mass Email,Mass Email,
16,User group list,boundary,1,3,Mass Email,Mass Email,
17,Administrator,actor,5,0,Mass Email,Mass Email,
