id,path,functional,transactional,path_length,diagram,useCase
1,Administrator->User group list->validate role of user->find email address of the selected youth->load email template->email template,EI,CTRL|DM|EI,undefined,Mass Email,Mass Email
2,Administrator->User group list->validate role of user->find email address of the selected youth->load email template->send email page,EQ,CTRL|INT,undefined,Mass Email,Mass Email
3,Administrator->User group list->validate role of user->find email address of the selected youth->user,EI,CTRL|DM|EI,undefined,Mass Email,Mass Email
4,Administrator->User group list->validate role of user->unauthorized error message,EQ,CTRL|INT,undefined,Mass Email,Mass Email
5,Administrator->send email page->send email->Email protocol,FUNC_NA,CTRL|EXTIVK,undefined,Mass Email,Mass Email
6,Administrator->send email page->send email->Add activities to case->unauthorized access error,EQ,CTRL|INT,undefined,Mass Email,Mass Email
7,Administrator->send email page->send email->Add activities to case->Email sent success message,EQ,CTRL|INT,undefined,Mass Email,Mass Email
8,Administrator->send email page->send email->Add activities to case->Case,EI,CTRL|DM|EI,undefined,Mass Email,Mass Email
9,General staff->User group list->validate role of user->find email address of the selected youth->load email template->email template,EI,CTRL|DM|EI,undefined,Mass Email,Mass Email
10,General staff->User group list->validate role of user->find email address of the selected youth->load email template->send email page,EQ,CTRL|INT,undefined,Mass Email,Mass Email
11,General staff->User group list->validate role of user->find email address of the selected youth->user,EI,CTRL|DM|EI,undefined,Mass Email,Mass Email
12,General staff->User group list->validate role of user->unauthorized error message,EQ,CTRL|INT,undefined,Mass Email,Mass Email
13,General staff->send email page->send email->Email protocol,FUNC_NA,CTRL|EXTIVK,undefined,Mass Email,Mass Email
14,General staff->send email page->send email->Add activities to case->unauthorized access error,EQ,CTRL|INT,undefined,Mass Email,Mass Email
15,General staff->send email page->send email->Add activities to case->Email sent success message,EQ,CTRL|INT,undefined,Mass Email,Mass Email
16,General staff->send email page->send email->Add activities to case->Case,EI,CTRL|DM|EI,undefined,Mass Email,Mass Email
17,Case manager->User group list->validate role of user->find email address of the selected youth->load email template->email template,EI,CTRL|DM|EI,undefined,Mass Email,Mass Email
18,Case manager->User group list->validate role of user->find email address of the selected youth->load email template->send email page,EQ,CTRL|INT,undefined,Mass Email,Mass Email
19,Case manager->User group list->validate role of user->find email address of the selected youth->user,EI,CTRL|DM|EI,undefined,Mass Email,Mass Email
20,Case manager->User group list->validate role of user->unauthorized error message,EQ,CTRL|INT,undefined,Mass Email,Mass Email
21,Case manager->send email page->send email->Email protocol,FUNC_NA,CTRL|EXTIVK,undefined,Mass Email,Mass Email
22,Case manager->send email page->send email->Add activities to case->unauthorized access error,EQ,CTRL|INT,undefined,Mass Email,Mass Email
23,Case manager->send email page->send email->Add activities to case->Email sent success message,EQ,CTRL|INT,undefined,Mass Email,Mass Email
24,Case manager->send email page->send email->Add activities to case->Case,EI,CTRL|DM|EI,undefined,Mass Email,Mass Email
