name, startTime, endTime, size (kb),runTime(s), runTime, size(mb),0.975431508,,21348
F15a_combat_conflict_2019-9-18@1571435830471,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 14:59:27 GMT-0700 (Pacific Daylight Time),324.51,78.11263579,78112.63579,0.32451,,,
SSAD_DCP_F15a_T06_V2.1_2019-9-18@1571435830677,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 14:59:27 GMT-0700 (Pacific Daylight Time),326.478,78.00914808,78009.14808,0.326478,,,
SSAD_IOC1_S13b_T01_V4.0_2019-9-18@1571435830700,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 14:59:35 GMT-0700 (Pacific Daylight Time),363.185,83.05317324,83053.17324,0.363185,,,
Art_Crafts_Website_2019-9-18@1571435830447,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 14:59:36 GMT-0700 (Pacific Daylight Time),377.288,83.26415094,83264.15094,0.377288,,,
F14a_soccer_data_web_crawler_2019-9-18@1571435830468,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 14:59:59 GMT-0700 (Pacific Daylight Time),432.749,96.75586049,96755.86049,0.432749,,,
ssad_dcp_f15a_t02_v2.1_2019-9-18@1571435830674,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:00:05 GMT-0700 (Pacific Daylight Time),439.698,99.73699257,99736.99257,0.439698,,,
OCD_TRR_F15a_T07_V2.2_2019-9-18@1571435830542,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:00:08 GMT-0700 (Pacific Daylight Time),451.345,101.7198399,101719.8399,0.451345,,,
SSAD_TRR_F16a_T03_V2.0_2019-9-18@1571435830824,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:00:09 GMT-0700 (Pacific Daylight Time),461.783,101.8953688,101895.3688,0.461783,,,
Improvementon_on_VITA_website_2019-9-18@1571435830483,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:00:09 GMT-0700 (Pacific Daylight Time),459.008,102.1063465,102106.3465,0.459008,,,
SSAD_DCP_F11a_T10_V2.3_2019-9-18@1571435830669,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:00:24 GMT-0700 (Pacific Daylight Time),478.973,110.8593482,110859.3482,0.478973,,,
OCD_ASBUILT_S17b_T10_V4.0_2019-9-18@1571435830504,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:00:24 GMT-0700 (Pacific Daylight Time),484.924,111.0783305,111078.3305,0.484924,,,
F14a_women_at_work_website_redesign_2019-9-18@1571435830470,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:00:25 GMT-0700 (Pacific Daylight Time),516.031,111.3230417,111323.0417,0.516031,,,
f15a_Lingggo_2019-9-18@1571435830476,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:00:34 GMT-0700 (Pacific Daylight Time),508.292,116.8033162,116803.3162,0.508292,,,
F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications_2019-9-18@1571435830449,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:01:44 GMT-0700 (Pacific Daylight Time),564.007,156.5191538,156519.1538,0.564007,,,
F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications_2019-9-18@1571435830505,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:01:44 GMT-0700 (Pacific Daylight Time),564.007,156.8256146,156825.6146,0.564007,,,
F14a_snapp_voice_communication_system_2019-9-18@1571435830467,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:01:45 GMT-0700 (Pacific Daylight Time),574.769,157.0748999,157074.8999,0.574769,,,
SSAD_TRR_F11a_T06_V1.5_2019-9-18@1571435830771,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:01:45 GMT-0700 (Pacific Daylight Time),572.045,156.9616924,156961.6924,0.572045,,,
