id,attribute,type,element,diagram
1,Location_Id,char,Valet Check In,Domain Objects
2,timestamp,int,Valet Check In,Domain Objects
3,valet_fee,int,Valet Check In,Domain Objects
4,Valet_Id,int,Valet Check In,Domain Objects
5,user_name,char,Valet,Domain Objects
6,user_password,char,Valet,Domain Objects
7,valet_company_id,int,Valet,Domain Objects
8,valet_id,int,Valet,Domain Objects
9,valet_name,char,Valet,Domain Objects
10,valet_state,int,Valet,Domain Objects
11,customer_ID,int,Customer,Domain Objects
12,customer_name,char,Customer,Domain Objects
13,user_name,char,Customer,Domain Objects
14,user_password,char,Customer,Domain Objects
15,user_name,char,Valet Company,Domain Objects
16,user_password,char,Valet Company,Domain Objects
17,valet_company_id,int,Valet Company,Domain Objects
18,valet_company_name,char,Valet Company,Domain Objects
19,location_id,char,Valet Company Located IN,Domain Objects
20,timestamp,int,Valet Company Located IN,Domain Objects
21,valet company_id,int,Valet Company Located IN,Domain Objects
22,customer_id,int,Valet Request,Domain Objects
23,location_id,char,Valet Request,Domain Objects
24,payment_method,int,Valet Request,Domain Objects
25,ticket_number,char,Valet Request,Domain Objects
26,timestamp,int,Valet Request,Domain Objects
27,tips,float,Valet Request,Domain Objects
28,valet_company_id,int,Valet Request,Domain Objects
29,valet_fee,float,Valet Request,Domain Objects
30,valet_request_id,int,Valet Request,Domain Objects
31,valet_request_status,int,Valet Request,Domain Objects
32,current_valet_fee,float,Location,Domain Objects
33,current_valet_id,int,Location,Domain Objects
34,location_address,char,Location,Domain Objects
35,location_ID,char,Location,Domain Objects
36,location_latitude,char,Location,Domain Objects
37,location_longitude,double,Location,Domain Objects
38,location_name,char,Location,Domain Objects
39,valet_company_id,int,Location,Domain Objects
