id,element,useCase,type,component
1,User:logout page,Log-out,boundary,Catagorypage
2,User:Homepage,Log-out,boundary,Catagorypage
3,Notify the user has logged out 
:Homepage,Log-out,boundary,Catagorypage
4,Log out and  terminate the session
:Validate username and password,Log-out,control,Validatevalues
5,logout page:Log out and  terminate the session
,Log-out,control,Logoutandterminatethesession
6,Validate username and password:Notify the user has logged out 
,Log-out,control,Logoutandterminatethesession
7,stl#User:logout page,Log-out,Stimulus,undefined
8,stl#User:Homepage,Log-out,Stimulus,undefined
