id,element,useCase,type,component
1,User :select contacts,mass mail,boundary,selectcontacts
2,User :select format and input email content,mass mail,boundary,selectcontacts
3,User :click mass mailing tab,mass mail,boundary,Clicksubmit
4,User :click "send" button,mass mail,boundary,Clicksubmit
5,User :Homepage,mass mail,boundary,Homepage
6,send emails to contacts:Homepage,mass mail,boundary,Homepage
7,click "send" button:send emails to contacts,mass mail,boundary,selectcontacts
8,click mass mailing tab:display contacts list format list,mass mail,boundary,selectcontacts
9,send emails to contacts:contacts db,mass mail,boundary,selectcontacts
10,display contacts list format list:send emails to contacts,mass mail,boundary,selectcontacts
11,select contacts:send emails to contacts,mass mail,boundary,selectcontacts
12,select format and input email content:send emails to contacts,mass mail,boundary,selectcontacts
13,stl#User :select contacts,mass mail,Stimulus,undefined
14,stl#User :select format and input email content,mass mail,Stimulus,undefined
15,stl#User :click mass mailing tab,mass mail,Stimulus,undefined
16,stl#User :click "send" button,mass mail,Stimulus,undefined
17,stl#User :Homepage,mass mail,Stimulus,undefined
