id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,Error messagge popup,boundary,0,1,Experiment Use Case,Validate Redemption Password
2,Display Popup Error Message,control,1,1,Experiment Use Case,Validate Redemption Password
3,Display Pop-up Error Message,control,1,1,Experiment Use Case,Validate Redemption Password
4,Error message popup,boundary,0,1,Experiment Use Case,Validate Redemption Password
5,get Redeem password,control,2,1,Experiment Use Case,Validate Redemption Password
6,Is redemption password valid?,control,4,1,Experiment Use Case,Validate Redemption Password
7,Coupon Successfully Redeemed Popup Message,boundary,0,1,Experiment Use Case,Validate Redemption Password
8,Enter Password,control,1,1,Experiment Use Case,Validate Redemption Password
9,Display Redeem Coupon Page,control,1,1,Experiment Use Case,Validate Redemption Password
10,Coupon,entity,1,0,Experiment Use Case,Validate Redemption Password
11,Traveler,actor,1,0,Experiment Use Case,Validate Redemption Password
12,Traveler Account,entity,0,1,Experiment Use Case,Validate Redemption Password
13,Display Coupon Successfully Redeemed Popup Message,control,1,1,Experiment Use Case,Validate Redemption Password
14,Redemption Password Validation Page,boundary,1,3,Experiment Use Case,Validate Redemption Password
15,Display Redemption Password Validation Page,control,2,1,Experiment Use Case,Validate Redemption Password
16,Redeem Coupon Page,boundary,0,1,Experiment Use Case,Validate Redemption Password
17,is there similiar transaction,control,2,1,Notify Partner of Redemption,Notify Partner of Redemption
18,Click cancel button,control,1,3,Notify Partner of Redemption,Notify Partner of Redemption
19,Redeem failed page,boundary,1,1,Notify Partner of Redemption,Notify Partner of Redemption
20,Alert message page,boundary,2,1,Notify Partner of Redemption,Notify Partner of Redemption
21,Traveler,actor,2,0,Notify Partner of Redemption,Notify Partner of Redemption
22,Enter password,control,1,1,Notify Partner of Redemption,Notify Partner of Redemption
23,Coupon Redeem Page,boundary,1,4,Notify Partner of Redemption,Notify Partner of Redemption
24,Is password valid?,control,3,1,Notify Partner of Redemption,Notify Partner of Redemption
25,Is network connection working,control,3,2,Notify Partner of Redemption,Notify Partner of Redemption
26,Enter Password,control,2,1,Notify Partner of Redemption,Notify Partner of Redemption
27,Display Redeem Coupon Page,control,1,1,Notify Partner of Redemption,Notify Partner of Redemption
28,Employee,actor,1,0,Notify Partner of Redemption,Notify Partner of Redemption
29,Traveler Account,entity,0,1,Notify Partner of Redemption,Notify Partner of Redemption
30,Alert message page,boundary,1,2,Notify Partner of Redemption,Notify Partner of Redemption
31,Redeem Success Page,boundary,0,2,Notify Partner of Redemption,Notify Partner of Redemption
32,Logging transaction,control,0,1,Bill partner for redemption transaction,Bill partner for redemption transaction
33,Validating redemption password,control,0,1,Bill partner for redemption transaction,Bill partner for redemption transaction
34,Generate barcode,control,4,2,Bill partner for redemption transaction,Bill partner for redemption transaction
35,Billing partner,control,1,1,Bill partner for redemption transaction,Bill partner for redemption transaction
36,Display,control,1,4,Bill partner for redemption transaction,Bill partner for redemption transaction
37,Redeem Coupon,control,1,1,Bill partner for redemption transaction,Bill partner for redemption transaction
38,Coupon Redeem Page,boundary,1,4,Bill partner for redemption transaction,Bill partner for redemption transaction
39,Invoke,control,5,1,Bill partner for redemption transaction,Bill partner for redemption transaction
40,retrieve data from account,control,3,1,Bill partner for redemption transaction,Bill partner for redemption transaction
41,Notifying partner,control,0,1,Bill partner for redemption transaction,Bill partner for redemption transaction
42,Display,control,1,1,Bill partner for redemption transaction,Bill partner for redemption transaction
43,Employee,actor,2,0,Bill partner for redemption transaction,Bill partner for redemption transaction
44,account,entity,0,1,Bill partner for redemption transaction,Bill partner for redemption transaction
45,Coupon template,boundary,0,3,Bill partner for redemption transaction,Bill partner for redemption transaction
46,Partner Info,entity,0,1,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard
47,Temporary storage,entity,0,3,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard
48,Display redemption statistics screen,control,2,1,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard
49,Chooses filtering or sorting option,control,2,1,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard
50,Query Transaction Log and Partner Info,control,4,2,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard
51,Filter and sort result,control,2,2,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard
52,Leave Reemption statistics screen,control,1,1,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard
53,Administrator,actor,2,0,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard
54,Transaction Log,entity,0,1,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard
55,Redemption statistics screen,boundary,3,2,View redemption statistics for partner storyboard,View redemption statistics for partner storyboard
56,Search result page,boundary,0,1,Billstatus page,View Partner Billing status storyboard
57,Partner data,entity,0,2,Billstatus page,View Partner Billing status storyboard
58,Display search result,control,1,1,Billstatus page,View Partner Billing status storyboard
59,Search,control,3,2,Billstatus page,View Partner Billing status storyboard
60,Display search result,control,1,1,Billstatus page,View Partner Billing status storyboard
61,Administrator,actor,1,0,Billstatus page,View Partner Billing status storyboard
62,Billstatus page,boundary,2,2,Billstatus page,View Partner Billing status storyboard
63,Partner,actor,0,1,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard
64,Email the partner,control,1,2,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard
65,Display partner account with errors,control,1,0,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard
66,Suspend a partner account,control,2,1,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard
67,Suspend failed page,boundary,0,3,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard
68,Suspend succeed page,boundary,0,3,Suspend Partner Account Storyboard,Suspend Partner Account Storyboard
