id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,parseRSSfeed,undefined,undefined,undefined,undefined,undefined,undefined
2,Invaliddetailinputmessage,undefined,undefined,undefined,undefined,undefined,undefined
3,Localstorage,undefined,undefined,undefined,undefined,undefined,undefined
4,UserProfilebutton,undefined,undefined,undefined,undefined,undefined,undefined
5,checkifemailidandmodelnumberareexisting,undefined,undefined,undefined,undefined,undefined,undefined
6,Notification,undefined,undefined,undefined,undefined,undefined,undefined
7,retryrequest,undefined,undefined,undefined,undefined,undefined,undefined
8,triggerdownloadthelistofjobstoasubscriber,undefined,undefined,undefined,undefined,undefined,undefined
9,job,undefined,undefined,undefined,undefined,undefined,undefined
10,redirecttowebsite,undefined,undefined,undefined,undefined,undefined,undefined
11,Applynoewlink,undefined,undefined,undefined,undefined,undefined,undefined
