id,operation,element
1,loadBOR,Main view
2,loadMenu,Main view
3,loadSexFacts,Main view
4,load answer,Quiz controller
5,load hint,Quiz controller
6,load question,Quiz controller
7,get quiz,Quiz view
8,view hints,Quiz view
9,view options,Quiz view
10,view questions,Quiz view
11,UIView,UI View
12,UIWebview,UI Web view
13,inline playback,Video controller
14,set height,Video controller
15,set width,Video controller
16,Thevideoispostedonuser��sTwitteraccount,Video controller
17,getLayout,Video view
18,getVideo,Video view
19,load DB,chapter controller
20,operation,chapter controller
21,Displayallthechaptertextandotherlinksavailabletogotofromthatchapter,chapter controller
22,Chaptercontentisloadedandwithwatchmorelinklisted,chapter controller
23,load content,chapter view
24,load quiz,chapter view
25,load video,chapter view
26,Clickonthechaptertoview,chapter view
27,BillofRights,Bill of Rights
28,Chapter,Chapter
29,clicksonspecificchapter,Chapter
30,Displayallthechapterslisted,Chapter
31,Facebook,Facebook
32,Home,Home
33,Showthehomepageoftheapp,Home
34,Questions,Questions
35,Displayallthehintsbasedonquestion,Questions
36,Quiz,Quiz
37,Quizhint,Quiz hint
38,Twitter,Twitter
39,UserentersherTwitteraccountcredentials,Twitter
40,UseristakentologinpageofTwitter,Twitter
41,Video,Video
42,Thevideostartsplaying,Video
43,Thevideoispaused,Video
44,GoGrrrlsApp,Go Grrrls App
45,YoutubeAPI,Youtube API
46,ThevideoisloadedfromtheYouTubeAPIandisavailabletowatchalongwiththetextinline,Youtube API
47,VideoManagement,Video Management
48,iosUI,ios UI
49,QuizSystem,Quiz System
50,Displaywelcomemessage,Displaywelcomemessage
51,Displayalltablecontens,Displaywelcomemessage
52,clicksonreadbutton,clicksonreadbutton
53,Clickonviewcontent,clicksonreadbutton
54,clicksonWatchmorelink,clicksonreadbutton
55,TheuserclicksontheTwitteroptionamongthelistedone,clicksonreadbutton
