NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,NI,NE,EXT,ERY,RED,WRT,SWTI,SWTII,SWTIII
1,Activate user,24,34,2,26,6,10,8,1,0,0,1,4,1,1,20,4,38,4.65625,32,7.5,176.9375,0,0,89,24,24,24,24,24,24,24,24.355200000000004,98.07169999999998,52.73770000000002
2,Check case information,63,49,1,31,16,11,3,0,0,8,0,8,0,8,55,8,40.125,5.837209302325581,32.25,13.5,234.21802325581393,0,0,261,63,63,63,63,63,63,63,63.932400000000044,245.8442999999998,149.17240000000004
3,Create a new case,26,31,0,21,8,9,4,0,0,2,0,6,0,2,20,6,20.666666666666668,3.326530612244898,16.333333333333332,4.333333333333333,68.74829931972789,0,0,104,26,26,26,26,26,26,26,26.384800000000006,57.8424,39.17180000000001
4,Create a youth user,9,21,0,16,0,10,6,3,0,0,3,6,0,3,3,6,6,3.1481481481481484,4.5,1.8333333333333333,18.88888888888889,0,0,30,9,9,9,9,9,9,9,9.133199999999999,12.679499999999999,11.5367
5,Create high-level user,12,21,0,16,9,2,5,1,0,1,1,2,0,2,10,2,30.5,4.183673469387755,24.5,7,127.60204081632654,0,0,47,12,12,12,12,12,12,12,12.177599999999996,32.839999999999996,21.3286
6,Edit case,46,45,0,29,4,10,15,5,0,0,5,5,0,5,41,5,51.4,8.95260663507109,42.2,8.4,460.16398104265403,0,0,165,46,46,46,46,46,46,46,46.680800000000026,235.58359999999993,145.78480000000002
7,Edit user,24,29,0,23,6,5,12,2,0,0,2,2,0,2,22,2,83,4.683098591549296,71,27,388.69718309859155,0,0,103,24,24,24,24,24,24,24,24.355200000000004,96.31220000000003,56.18070000000002
8,Inactivate user,11,19,0,14,3,3,8,2,0,0,2,3,0,2,8,3,16,3.189189189189189,12.333333333333334,6,51.027027027027025,0,0,45,11,11,11,11,11,11,11,11.162799999999997,18.135299999999997,14.7158
9,Log an activity,35,37,0,22,13,2,7,5,0,0,5,5,0,5,30,5,34,10.88888888888889,27,4,370.22222222222223,0,0,120,35,35,35,35,35,35,35,35.518000000000015,180.70799999999994,100.808
10,Login,20,33,0,23,7,7,9,2,0,0,2,4,0,2,16,4,20.5,4.709677419354839,15.5,5.75,96.54838709677419,0,0,67,20,20,20,20,20,20,20,20.296,43.0978,28.97900000000001
11,Mass Email,42,43,0,28,4,15,9,6,0,6,6,21,0,12,21,21,10.714285714285714,5.934426229508197,8.714285714285714,4.428571428571429,63.5831381733021,0,0,177,42,42,42,42,42,42,42,42.62160000000002,168.05880000000002,105.85259999999998
12,Report generation,43,40,0,27,3,17,7,21,0,8,21,43,0,29,0,43,5.651162790697675,11.285,4.651162790697675,0.8604651162790697,63.77337209302326,0,0,149,43,43,43,43,43,43,43,43.63640000000002,228.23650000000004,146.7354
13,Reset Password,22,29,0,19,10,4,5,6,0,4,6,10,0,10,12,10,9.6,4.162162162162162,7.4,4.3,39.956756756756754,0,0,90,22,22,22,22,22,22,22,22.3256,54.80960000000001,41.20060000000001
14,Reset Security Questions,22,29,0,19,14,1,4,2,0,4,2,6,0,6,16,6,16,9.837837837837839,12.333333333333334,5.833333333333333,157.40540540540542,0,0,91,22,22,22,22,22,22,22,22.3256,91.65280000000001,57.585600000000014
15,Upload document,22,30,0,20,13,6,1,0,0,6,0,6,0,6,16,6,16.666666666666668,4.128205128205129,13,6,68.80341880341882,0,0,92,22,22,22,22,22,22,22,22.3256,59.23499999999999,40.011599999999994
16,View document,51,39,1,27,9,12,5,24,0,21,24,51,6,45,0,51,5.352941176470588,5.324324324324325,4.352941176470588,2.2941176470588234,28.500794912559616,0,0,217,51,51,51,51,51,51,51,51.75480000000003,217.35389999999973,122.07479999999995
