id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Point is not enough message,boundary,0,2,Redeem gift items,Redeem gift items,
2,decrease the itme num in store,control,2,1,Redeem gift items,Redeem gift items,
3,user,entity,0,2,Redeem gift items,Redeem gift items,
4,load store details,control,2,1,Redeem gift items,Redeem gift items,
5,direct to online store page,control,1,1,Redeem gift items,Redeem gift items,
6,store,entity,0,2,Redeem gift items,Redeem gift items,
7,Redeem gift option,boundary,1,1,Redeem gift items,Redeem gift items,
8,decrease the points,control,3,1,Redeem gift items,Redeem gift items,
9,redeem success message,boundary,0,2,Redeem gift items,Redeem gift items,
10,check if the user has enough points,control,3,1,Redeem gift items,Redeem gift items,
11,Online store page,boundary,1,2,Redeem gift items,Redeem gift items,
12,User,actor,4,0,Redeem gift items,Redeem gift items,
