id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,invalid file name,boundary,0,2,Update profile picture,Update profile picture,
2,invalid file size error message,boundary,0,2,Update profile picture,Update profile picture,
3,picture format error message,boundary,0,2,Update profile picture,Update profile picture,
4,redirect to profile page,control,1,1,Update profile picture,Update profile picture,
5,profile page,boundary,0,2,Update profile picture,Update profile picture,
6,save image,control,5,1,Update profile picture,Update profile picture,
7,Image selector field,boundary,1,2,Update profile picture,Update profile picture,
8,popup image selector field,control,1,1,Update profile picture,Update profile picture,
9,profile,entity,0,1,Update profile picture,Update profile picture,
10,profile edit page,boundary,1,2,Update profile picture,Update profile picture,
11,popup profile edit page,control,1,1,Update profile picture,Update profile picture,
12,profile edit icon,boundary,1,1,Update profile picture,Update profile picture,
13,User,actor,7,0,Update profile picture,Update profile picture,
