id,path,functional,transactional,path_length,diagram,useCase
1,user->Track order button->retrieve order status->order status,EQ,CTRL|INT,undefined,Track Order,Track Order
2,user->Track order button->retrieve order status->order,EI,CTRL|DM|EI,undefined,Track Order,Track Order
