id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Validate input group information,control,1,1,Group management,Group management,
2,Save group information,control,1,1,Group management,Group management,
3,Group information edit page,boundary,1,2,Group management,Group management,
4,Adit group information,control,2,1,Group management,Group management,
5,Approve/decline applicants,control,1,1,Group management,Group management,
6,Group operation panel,boundary,2,2,Group management,Group management,
7,Popup group operation panel,control,1,1,Group management,Group management,
8,Group List,boundary,2,2,Group management,Group management,
9,group,entity,0,4,Group management,Group management,
10,query groups,control,3,2,Group management,Group management,
11,View groups button,boundary,1,2,Group management,Group management,
12,User,actor,4,0,Group management,Group management,
