"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d"
"1","tm1","tm2","mmre","+",0.883028866186358,0.887115639882443,0.32,0.731428571428571,1,-0.0162681701354141
"2","tm1","tm3","mmre","-",0.883028866186358,0.879506065914686,0.07,0.356363636363636,1,0.0147395052646219
"3","tm1","ucp","mmre","+",0.883028866186358,2.5863354984493,0.03,0.28,1,-2.06147621133054
"4","tm1","fp","mmre","+",0.883028866186358,1.55498877406672,0.02,0.28,1,-1.41035319246818
"5","tm1","cosmic","mmre","+",0.883028866186358,1.44250606218865,0.04,0.28,1,-1.20049340991213
"6","tm1","sloc","mmre","+",0.883028866186358,1.51968639403561,0.13,0.448,1,-1.75416549135919
"7","tm1","ln_sloc","mmre","-",0.883028866186358,0.779070331459508,0.6,1,1,0.458491476619051
"8","tm2","tm3","mmre","-",0.887115639882443,0.879506065914686,0.1,0.4,1,0.0331279666491388
"9","tm2","ucp","mmre","+",0.887115639882443,2.5863354984493,0.03,0.28,1,-2.06312817050654
"10","tm2","fp","mmre","+",0.887115639882443,1.55498877406672,0.02,0.28,1,-1.41543354940493
"11","tm2","cosmic","mmre","+",0.887115639882443,1.44250606218865,0.04,0.28,1,-1.20386809082188
"12","tm2","sloc","mmre","+",0.887115639882443,1.51968639403561,0.18,0.516923076923077,1,-1.77248386599003
"13","tm2","ln_sloc","mmre","-",0.887115639882443,0.779070331459508,0.79,1,1,0.498102994945464
"14","tm3","ucp","mmre","+",0.879506065914686,2.5863354984493,0.04,0.28,1,-2.08157065656494
"15","tm3","fp","mmre","+",0.879506065914686,1.55498877406672,0.02,0.28,1,-1.45119881133859
"16","tm3","cosmic","mmre","+",0.879506065914686,1.44250606218865,0.09,0.4,1,-1.23789194808774
"17","tm3","sloc","mmre","+",0.879506065914686,1.51968639403561,0.37,0.796923076923077,1,-1.83749817687651
"18","tm3","ln_sloc","mmre","-",0.879506065914686,0.779070331459508,0.94,1,1,0.495614985913682
"19","ucp","fp","mmre","-",2.5863354984493,1.55498877406672,0.8,1,1,1.12379835906703
"20","ucp","cosmic","mmre","-",2.5863354984493,1.44250606218865,0.93,1,1,1.25368678818565
"21","ucp","sloc","mmre","-",2.5863354984493,1.51968639403561,0.95,1,1,1.23416676435901
"22","ucp","ln_sloc","mmre","-",2.5863354984493,0.779070331459508,0.98,1,1,2.21347934336091
"23","fp","cosmic","mmre","-",1.55498877406672,1.44250606218865,0.84,1,1,0.183261808739306
"24","fp","sloc","mmre","-",1.55498877406672,1.51968639403561,0.98,1,1,0.0654128348380117
"25","fp","ln_sloc","mmre","-",1.55498877406672,0.779070331459508,1,1,1,1.68939092574894
"26","cosmic","sloc","mmre","+",1.44250606218865,1.51968639403561,0.92,1,1,-0.14548069784027
"27","cosmic","ln_sloc","mmre","-",1.44250606218865,0.779070331459508,0.98,1,1,1.47929106069097
"28","sloc","ln_sloc","mmre","-",1.51968639403561,0.779070331459508,0.97,1,1,2.17762958501502
"29","tm1","tm2","pred25","+",0.132,0.096,0.57,1,1,0.400976252273396
"30","tm1","tm3","pred25","+",0.132,0.073,0.45,0.884210526315789,1,0.693113020884619
"31","tm1","ucp","pred25","+",0.132,0.015,0.89,1,1,1.64215376507816
