"","r","p-value","Rank"
"SWTIII",0.74,0,1
"SWTII",0.73,0,2
"AFP",0.73,0,3
"SWTI",0.68,0,4
"COSMIC",0.5,0,5
"SLOC",0.45,0,6
"UUCP",0.4,0,7
"LOG_SLOC",0.37,0.01,8
