"","mmre","rank1","pred25","rank2","mdmre","rank3","mae","rank4","rank*"
"COSMIC",1.43,6,0.19,1,0.74,1,21457.53,3,1
"LOG_SLOC",0.81,1,0.13,4,0.74,2,21747.34,4,1
"SWTIII",0.95,2,0.13,4,0.78,3,21150.55,2,1
"IFPUG",1.38,5,0.17,2,0.92,6,21016.62,1,4
"SWTII",0.95,3,0.13,3,0.87,5,23041.14,5,5
"SWTI",1.1,4,0.07,6,0.82,4,26507.38,6,6
"SLOC",1.77,7,0.04,7,1.41,8,27739.55,7,7
"UCP",2.63,8,0,8,1.17,7,30417.49,8,8
