id,element,useCase,type,component
1,administrator:survey list,start a new survey,control,Survey Management
2,administrator:new survey button,start a new survey,control,Survey Management
3,administrator:path list,start a new survey,boundary,SPSListScreen
4,administrator:shcool list,start a new survey,boundary,SPSListScreen
5,retrive school path and survey:answer,start a new survey,control,answer
6,display path list:path list,start a new survey,boundary,SPSListScreen
7,display path list:display survey list and question list,start a new survey,boundary,Question Screen
8,display path list:survey list,start a new survey,control,Survey Management
9,shcool list:display path list,start a new survey,boundary,SPSListScreen
10,display school list:shcool list,start a new survey,boundary,SPSListScreen
11,retrive school path and survey:display school list,start a new survey,entity,schoolinformaiton
12,display survey list and question list:survey list,start a new survey,control,Survey Management
13,display survey list and question list:question db,start a new survey,boundary,Question Screen
14,new survey button:send request,start a new survey,boundary,Question Screen
15,new survey button:retrive school path and survey,start a new survey,control,Survey Management
16,retrive school path and survey:survey list,start a new survey,control,Survey Management
17,send request:retrive school path and survey,start a new survey,control,Survey Management
18,send request:survey list,start a new survey,control,Survey Management
19,stl#administrator:survey list,start a new survey,Stimulus,undefined
20,stl#administrator:new survey button,start a new survey,Stimulus,undefined
21,stl#administrator:path list,start a new survey,Stimulus,undefined
22,stl#administrator:shcool list,start a new survey,Stimulus,undefined
