id,operation,element,diagram
1,initialise,UserRecommender,Domain Classes
2,recommendByField,UserRecommender,Domain Classes
3,weightedRecommendation,UserRecommender,Domain Classes
4,post_ad,Advertisement,Domain Classes
5,remove_ad,Advertisement,Domain Classes
6,addMember,Group,Domain Classes
7,createGroup,Group,Domain Classes
8,deleteGroup,Group,Domain Classes
9,deletePost,Group,Domain Classes
10,editPost,Group,Domain Classes
11,operation,Group,Domain Classes
12,postUpdate,Group,Domain Classes
13,removeMemeber,Group,Domain Classes
14,addHobby,HobbySet,Domain Classes
15,getHobby,HobbySet,Domain Classes
16,removeHobby,HobbySet,Domain Classes
17,setHobby,HobbySet,Domain Classes
18,getNotificationDetails,Notification,Domain Classes
19,setNotificationDetails,Notification,Domain Classes
20,updateStatus,Notification,Domain Classes
21,addInfo,AdditionalInfo,Domain Classes
22,getInfo,AdditionalInfo,Domain Classes
23,removeInfo,AdditionalInfo,Domain Classes
24,setInfo,AdditionalInfo,Domain Classes
25,addSkill,Skill,Domain Classes
26,getSkill,Skill,Domain Classes
27,removeSkill,Skill,Domain Classes
28,setSkill,Skill,Domain Classes
29,addProject,Projects,Domain Classes
30,getDetails,Projects,Domain Classes
31,removeProject,Projects,Domain Classes
32,setDetails,Projects,Domain Classes
33,addCourse,Courses,Domain Classes
34,getCourse,Courses,Domain Classes
35,removeCourse,Courses,Domain Classes
36,setCourse,Courses,Domain Classes
37,addExprience,Experience,Domain Classes
38,getDetails,Experience,Domain Classes
39,removeEducation,Experience,Domain Classes
40,setDetails,Experience,Domain Classes
41,addLetter,Recommendation Letter,Domain Classes
42,getLetter,Recommendation Letter,Domain Classes
43,removeLetter,Recommendation Letter,Domain Classes
44,setLetter,Recommendation Letter,Domain Classes
45,setLetterStatus,Recommendation Letter,Domain Classes
46,checkEmailSent,Email,Domain Classes
47,isEmailExist,Email,Domain Classes
48,sendInviationEmail,Email,Domain Classes
49,validateEmail,Email,Domain Classes
50,checkUserInUserTable,Invitation,Domain Classes
51,getLinkedInFriendList,Invitation,Domain Classes
52,getUserInGroup,Invitation,Domain Classes
53,sendForEmail,Invitation,Domain Classes
54,sendForGroup,Invitation,Domain Classes
55,sendNotification,Invitation,Domain Classes
56,getConnectionEnds,Connection,Domain Classes
57,getConnectionStatus,Connection,Domain Classes
58,removeConnection,Connection,Domain Classes
59,updateStatus,Connection,Domain Classes
60,getConnection,ConnectionUpdate,Domain Classes
61,createUpdate,ActivityLogger,Domain Classes
62,editUpdate,ActivityLogger,Domain Classes
63,getDetails,Update,Domain Classes
64,isValid,Update,Domain Classes
65,addFollowers,FollowerSet,Domain Classes
66,getFollowers,FollowerSet,Domain Classes
67,deletePost,Company,Domain Classes
68,editPost,Company,Domain Classes
69,getDetails,Company,Domain Classes
70,postUpdate,Company,Domain Classes
71,setDetails,Company,Domain Classes
72,createAccount,Account,Domain Classes
73,deleteAccount,Account,Domain Classes
74,not,Account,Domain Classes
75,where,Account,Domain Classes
76,deleteAccount,Admin,Domain Classes
77,getAccountId,Admin,Domain Classes
78,deletePost,Individual,Domain Classes
79,editPost,Individual,Domain Classes
80,getDetails,Individual,Domain Classes
81,postUpdate,Individual,Domain Classes
82,setDetails,Individual,Domain Classes
83,sortSearchResult,CompanySearch,Domain Classes
84,sortSearchResult,SearchStrategy,Domain Classes
85,generateSearchParameters,SearchEngine,Domain Classes
86,handle,SearchEngine,Domain Classes
87,searchBySearchParameters,SearchEngine,Domain Classes
88,validateSearchParameters,SearchEngine,Domain Classes
89,getParameterSize,SearchParameters,Domain Classes
90,getParamterNameAt,SearchParameters,Domain Classes
91,operation,SearchParameters,Domain Classes
92,SearchParameters,SearchParameters,Domain Classes
93,getSearchResultAt,SearchResult,Domain Classes
94,getSearchResultSize,SearchResult,Domain Classes
95,getEntityNameAt,SearchResultEntity,Domain Classes
96,getEntityValueAt,SearchResultEntity,Domain Classes
97,getResultSize(),SearchResultEntity,Domain Classes
