NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, NT, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum
1,Navigation,14,1,6,8,0,15,5,0,5,0,0,5,5,0,0,0,0,0,0.9333333333333333,6,5.6,10
2,Automatic deletion,9,1,0,3,2,6,0,3,3,0,3,0,3,3,0,0,0,0,1.5,3,4.5,3
3,Admin deletes photo,10,1,1,5,1,8,0,3,3,0,0,3,3,3,0,0,0,0,1.25,5,6.25,6
4,Admin searches for photo by event,19,1,4,6,2,13,1,0,1,0,0,3,1,0,0,0,0,0,1.4615384615384615,4.5,6.576923076923077,4
5,Admin searches for photo by user,19,1,4,6,2,13,1,0,1,0,0,3,1,0,0,0,0,0,1.4615384615384615,4.5,6.576923076923077,4
6,Create Account,15,1,1,8,2,12,0,1,1,0,0,3,1,1,0,0,0,0,1.25,5.5,6.875,4
7,Create Profile,11,1,2,5,1,9,1,1,2,0,0,5,2,1,0,0,0,0,1.2222222222222223,3.857142857142857,4.714285714285714,7
8,Create a Private Event,9,1,1,3,1,6,0,4,4,0,0,0,4,4,0,0,0,0,1.5,5,7.5,4
9,Create a Public Event,9,1,1,3,1,6,0,4,4,0,0,0,4,4,0,0,0,0,1.5,5,7.5,4
10,Delete Photos in Event if Owner,15,1,2,6,2,11,1,2,3,0,0,4,3,2,0,0,0,0,1.3636363636363635,3.857142857142857,5.259740259740259,7
11,Delete uploaded photos,26,1,5,8,1,15,6,3,6,0,0,2,6,0,0,3,0,0,1.7333333333333334,4.75,8.233333333333334,8
12,Downoad Photos to Device,8,1,1,3,1,6,0,1,1,0,0,0,1,1,0,0,0,0,1.3333333333333333,4,5.333333333333333,1
13,Log In to Account,10,1,1,3,2,7,0,3,3,0,0,0,3,3,0,0,0,0,1.4285714285714286,4.666666666666667,6.666666666666667,3
14,Log Out of Account,7,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0
15,Reserve a Hashtag,11,1,2,2,2,7,2,4,6,0,0,0,6,4,0,0,0,0,1.5714285714285714,4.166666666666667,6.547619047619048,6
16,Search by Location,17,1,4,4,3,12,0,5,5,0,0,1,5,5,0,0,0,0,1.4166666666666667,4.166666666666667,5.902777777777779,6
17,Search by event,18,1,3,5,1,10,3,1,3,0,0,2,3,0,0,1,0,0,1.8,5.6,10.08,5
18,Search event and upload photo,25,1,5,9,2,17,4,3,4,0,0,3,4,0,0,3,0,0,1.4705882352941178,5.857142857142857,8.61344537815126,7
19,Set a password,5,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0
20,Take a photo,15,1,3,4,1,9,3,2,3,0,0,0,3,0,0,2,0,0,1.6666666666666667,5.333333333333333,8.88888888888889,3
21,Take photo for location,18,1,3,6,2,12,3,3,3,0,0,0,3,0,0,3,0,0,1.5,6,9,3
22,Upload photo to my event,23,1,4,7,2,14,3,2,3,0,0,0,3,0,0,2,0,0,1.6428571428571428,5.333333333333333,8.761904761904761,3
23,View photos of event/View photos of private event with password,14,1,1,6,2,10,0,3,3,0,0,2,3,3,0,0,0,0,1.4,3.6,5.04,5
24,View photos on device,17,1,4,5,1,11,3,1,3,0,0,0,3,0,0,1,0,0,1.5454545454545454,4.666666666666667,7.212121212121213,3
