id,element,type,outbound_degree,inbound_degree,diagram,useCase
100,Actor,actor,5,0,Use Case Model,Delete uploaded photos
101,failed to delete,control,1,1,Use Case Model,Delete uploaded photos
102,Delete finished,control,1,1,Use Case Model,Delete uploaded photos
103,Result,boundary,0,4,Use Case Model,Delete uploaded photos
104,Confirm page,boundary,1,3,Use Case Model,Delete uploaded photos
105,view photo,boundary,1,3,Use Case Model,Delete uploaded photos
106,Select a photo,control,1,1,Use Case Model,Delete uploaded photos
107,get my upload,control,0,2,Use Case Model,Delete uploaded photos
108,my upload,entity,4,1,Use Case Model,Delete uploaded photos
109,Delete,control,1,1,Use Case Model,Delete uploaded photos
110,Confirmed delete,control,1,1,Use Case Model,Delete uploaded photos
111,Photo Collection,boundary,1,3,Use Case Model,Delete uploaded photos
112,Prepare photos,control,1,1,Use Case Model,Delete uploaded photos
113,Can't access server,control,1,1,Use Case Model,Delete uploaded photos
114,My photos screen,boundary,2,3,Use Case Model,Delete uploaded photos
115,Actor,actor,1,0,Use Case Model,Downoad Photos to Device
116,Handle download error,control,1,1,Use Case Model,Downoad Photos to Device
117,Handle download success,control,1,1,Use Case Model,Downoad Photos to Device
118,Server,entity,0,1,Use Case Model,Downoad Photos to Device
119,Download photo to Device,control,3,1,Use Case Model,Downoad Photos to Device
120,Photo Selected Screen,boundary,1,4,Use Case Model,Downoad Photos to Device
121,Actor,actor,1,0,Use Case Model,Log In to Account
122,Account,entity,0,1,Use Case Model,Log In to Account
123,Verify Username,control,3,1,Use Case Model,Log In to Account
124,Display pop-p "Authentication Failed" on Log In Screen,control,1,2,Use Case Model,Log In to Account
125,User Collection,entity,0,2,Use Case Model,Log In to Account
126,Verify Password,control,3,1,Use Case Model,Log In to Account
127,Log In Screen,boundary,1,3,Use Case Model,Log In to Account
128,Actor,actor,1,0,Use Case Model,Log Out of Account
129,Verify Username,control,2,1,Use Case Model,Log Out of Account
130,Display pop-p "Authentication Failed" on Log In Screen,control,1,2,Use Case Model,Log Out of Account
131,Log In Screen,boundary,2,4,Use Case Model,Log Out of Account
132,Actor,actor,2,0,Use Case Model,Reserve a Hashtag
133,Event,entity,0,1,Use Case Model,Reserve a Hashtag
134,Set Password Screen,boundary,1,3,Use Case Model,Reserve a Hashtag
135,Create new event with hashtag,control,3,2,Use Case Model,Reserve a Hashtag
136,Handle Creation Error,control,1,2,Use Case Model,Reserve a Hashtag
137,Event Collection,entity,0,1,Use Case Model,Reserve a Hashtag
138,Create Event Screen,boundary,2,2,Use Case Model,Reserve a Hashtag
139,Actor,actor,4,0,Use Case Model,Search by Location
140,User Directed to View Photo Use Case,control,0,1,Use Case Model,Search by Location
141,Photo Database,entity,0,1,Use Case Model,Search by Location
142,Perform Select Range Search,control,2,1,Use Case Model,Search by Location
143,Photo View,boundary,1,2,Use Case Model,Search by Location
144,Range Buttons(Default myhome),boundary,1,2,Use Case Model,Search by Location
145,Photo Database,entity,0,1,Use Case Model,Search by Location
146,Photo Search Result List View,boundary,1,2,Use Case Model,Search by Location
147,List Mutator,control,1,3,Use Case Model,Search by Location
148,Perform Default Search,control,2,1,Use Case Model,Search by Location
149,Photo Search Result List,entity,0,1,Use Case Model,Search by Location
150,Location Screen,boundary,1,2,Use Case Model,Search by Location
151,Actor,actor,3,0,Use Case Model,Search by event
152,Pop up daabase Error Message,control,1,1,Use Case Model,Search by event
153,Pop up Server Error Message,control,1,1,Use Case Model,Search by event
154,Event Collection,entity,2,2,Use Case Model,Search by event
155,Search API,control,3,1,Use Case Model,Search by event
156,Show Empty Result Page,boundary,1,2,Use Case Model,Search by event
157,Search Result Page,boundary,1,3,Use Case Model,Search by event
158,Valid Input Text,control,1,2,Use Case Model,Search by event
159,Perform Default Search,control,1,2,Use Case Model,Search by event
160,Search Event Homepage,boundary,1,4,Use Case Model,Search by event
161,Actor,actor,4,0,Use Case Model,Search event and upload photo
162,failed to upload,control,1,1,Use Case Model,Search event and upload photo
163,Upload finished,control,1,1,Use Case Model,Search event and upload photo
164,Photos in the event,entity,2,1,Use Case Model,Search event and upload photo
165,confirm upload,control,1,1,Use Case Model,Search event and upload photo
166,Select an event,control,1,1,Use Case Model,Search event and upload photo
167,prepare resullt,control,1,1,Use Case Model,Search event and upload photo
168,result,boundary,0,2,Use Case Model,Search event and upload photo
169,Search Event,boundary,1,3,Use Case Model,Search event and upload photo
170,Search(back-end),control,1,2,Use Case Model,Search event and upload photo
171,Event Collection,entity,1,1,Use Case Model,Search event and upload photo
172,can't access server,control,2,0,Use Case Model,Search event and upload photo
173,confirm,boundary,1,3,Use Case Model,Search event and upload photo
174,Search Result Page,boundary,1,3,Use Case Model,Search event and upload photo
175,enter search item and search,control,1,2,Use Case Model,Search event and upload photo
176,search & upload,control,2,0,Use Case Model,Search event and upload photo
177,upload choice,boundary,0,3,Use Case Model,Search event and upload photo
178,Actor,actor,1,0,Use Case Model,Set a password
179,Handle Password Error,control,1,1,Use Case Model,Set a password
180,Validates non-block password,control,1,1,Use Case Model,Set a password
181,Set Password Screen,boundary,1,3,Use Case Model,Set a password
182,Actor,actor,3,0,Use Case Model,Take a photo
183,can't access camera,control,1,1,Use Case Model,Take a photo
184,prepare resullt,control,1,2,Use Case Model,Take a photo
185,view photo,boundary,2,3,Use Case Model,Take a photo
186,camera,entity,2,1,Use Case Model,Take a photo
187,my photo screen,boundary,1,3,Use Case Model,Take a photo
188,take the photo successfully,control,1,1,Use Case Model,Take a photo
189,Upload,control,1,1,Use Case Model,Take a photo
190,upload choice,boundary,0,3,Use Case Model,Take a photo
191,Actor,actor,3,0,Use Case Model,Take photo for location
192,failed to get current location,control,1,1,Use Case Model,Take photo for location
193,failed to upload,control,1,1,Use Case Model,Take photo for location
194,my upload,entity,2,1,Use Case Model,Take photo for location
195,upload to current location,control,1,1,Use Case Model,Take photo for location
196,get location successfully,control,1,1,Use Case Model,Take photo for location
197,current location,boundary,1,3,Use Case Model,Take photo for location
198,camera,entity,2,1,Use Case Model,Take photo for location
199,upload choice,boundary,1,3,Use Case Model,Take photo for location
200,upload,control,1,1,Use Case Model,Take photo for location
201,Upload finished,control,1,1,Use Case Model,Take photo for location
202,upload choice,boundary,0,4,Use Case Model,Take photo for location
203,Actor,actor,4,0,Use Case Model,Upload photo to my event
204,my events,boundary,1,3,Use Case Model,Upload photo to my event
205,confirm upload,control,1,1,Use Case Model,Upload photo to my event
206,select an event,control,1,1,Use Case Model,Upload photo to my event
207,photos in the event,entity,1,2,Use Case Model,Upload photo to my event
208,failed to upload,control,1,1,Use Case Model,Upload photo to my event
209,my event,entity,2,1,Use Case Model,Upload photo to my event
210,upload finished,control,2,1,Use Case Model,Upload photo to my event
211,display my events,control,2,1,Use Case Model,Upload photo to my event
212,confirm,boundary,1,3,Use Case Model,Upload photo to my event
213,result,boundary,0,4,Use Case Model,Upload photo to my event
214,upload to my event,control,1,1,Use Case Model,Upload photo to my event
215,can't access server,control,1,1,Use Case Model,Upload photo to my event
216,upload choice,boundary,1,3,Use Case Model,Upload photo to my event
217,Actor,actor,1,0,Use Case Model,View photos of event/View photos of private event with password
218,Navigate to Photo Selected Screen,control,0,1,Use Case Model,View photos of event/View photos of private event with password
219,Photo Collection,entity,0,2,Use Case Model,View photos of event/View photos of private event with password
220,Display Remaining Event Time,control,1,1,Use Case Model,View photos of event/View photos of private event with password
221,Determine if user is event owner,control,2,1,Use Case Model,View photos of event/View photos of private event with password
222,Retrieve Photos for Event,control,2,1,Use Case Model,View photos of event/View photos of private event with password
223,Handle photo retrieval error,control,1,1,Use Case Model,View photos of event/View photos of private event with password
224,Event,entity,0,2,Use Case Model,View photos of event/View photos of private event with password
225,Hide Edit Button,control,1,1,Use Case Model,View photos of event/View photos of private event with password
226,Event Screen,boundary,5,4,Use Case Model,View photos of event/View photos of private event with password
227,Actor,actor,4,0,Use Case Model,View photos on device
228,Can't access local photos,control,1,1,Use Case Model,View photos on device
229,my photos screen,boundary,1,2,Use Case Model,View photos on device
230,process request,control,1,1,Use Case Model,View photos on device
231,get photos successfully,control,1,1,Use Case Model,View photos on device
232,choose a photo,control,1,1,Use Case Model,View photos on device
233,view photo,boundary,1,3,Use Case Model,View photos on device
234,local photos,entity,2,1,Use Case Model,View photos on device
235,camera roll,boundary,1,3,Use Case Model,View photos on device
236,upload,control,1,1,Use Case Model,View photos on device
237,upload choice,boundary,0,3,Use Case Model,View photos on device
