id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Facebook,0,0,228,0,0,0
2,Live Riot Video App,0,0,0,0,0,0
3,Tumblr,0,0,0,0,0,0
4,Twitter,0,0,0,0,0,0
5,ProxyConnector,0,0,0,0,0,0
6,$help://actor.htm,0,0,0,0,0,0
7,$help://usecasediagram.htm,0,0,0,0,0,0
8,$help://use_case_model_pattern.htm,0,0,0,0,0,0
9,System Boundary,0,0,0,0,0,0
10,PopupConfirmationbox,0,0,0,0,0,0
11,pdfformatisnotvalidmessage,0,0,0,0,0,0
12,uploadfile,0,0,0,0,0,0
13,idlefor30ormoreminutes,0,0,0,0,0,0
14,createaccountbutton,0,0,0,0,0,0
15,Cancel,0,0,0,0,0,0
16,MicroWebsiteManagementPage,0,0,0,0,0,0
17,Casestudydb,0,0,0,0,0,0
18,Loginpage,0,0,0,0,0,0
