id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:View customer profile->User:View customer profile->View customer profile:Displays Customer profile,View Customers,CTRL,3,1,6,2,18
2,stl#User:Edit customer profile.->User:Edit customer profile.->Edit customer profile.:Customer profile update->Customer profile update:Database,View Customers,CTRL;EXTCLL;DM;EI,4,1,4.666666666666667,3,18.666666666666668
3,stl#User:Delete cutomer profile->User:Delete cutomer profile->Delete cutomer profile:Customer Profile deleted->Customer Profile deleted:Database,View Customers,CTRL;EXTCLL;DM;EI,4,2,4.666666666666667,3,18.666666666666668
