id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Search box of events->User:Search box of events->Search box of events:Search events by name->Search events by name:List of Events,Search Events,CTRL,4,3,NaN,undefined,NaN
2,stl#User:Search box of events->User:Search box of events->Search box of events:Search events by name->Search events by name:Event,Search Events,CTRL,4,3,NaN,undefined,NaN
3,stl#User:List of Events->User:List of Events,Search Events,CTRL,2,1,NaN,undefined,NaN
