id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Not in Hawaii Mode->User:Not in Hawaii Mode,Determine AR/ VR mode,CTRL;EXTCLL;INT,2,1,2,1,4
2,stl#User:AR mode->User:AR mode,Determine AR/ VR mode,CTRL;EXTCLL;INT,2,1,2,1,4
