id,operation,element
1,helpactorhtm,$help://actor.htm
2,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
3,helpusecasediagramhtm,$help://usecasediagram.htm
4,SystemBoundary,System Boundary
5,helpdomainmodelpatternhtm,$help://domain_model_pattern.htm
6,Agentmanagermapping,Agent manager mapping
7,queryagent,Agent manager mapping
8,CallRecordings,Call Recordings
9,redirecttovoidmail,Call Recordings
10,incomecallpopup,Call Recordings
11,connecttoongoingcall,Call Recordings
12,calldetailedinformation,Call Recordings
13,callrecorddownloadedmessage,Call Recordings
14,connecttoTwilioAPIforagentscallrecords,Call Recordings
15,Calllogs,Call logs
16,loginpage,Call logs
17,popupincomecalldialog,Call logs
18,Createagentform,Create agent form
19,softphonescreen,Create agent form
20,checklogininformation,Create agent form
21,viewagentactivitesbutton,Create agent form
22,agent,Create agent form
23,successmessageforremovinglead,Create agent form
24,Leadcustomerprofile,Lead customer profile
25,leaddetail,Lead customer profile
26,leadslist,Lead customer profile
27,popupincomecallandcustomersnumber,Lead customer profile
28,dropdownlistforremovinglead,Lead customer profile
29,Leadcustomerstatus,Lead/customer status
30,statusselectordropdownlist,Lead/customer status
31,changedstatus,Lead/customer status
32,Leadcustomerwithagentmapping,Lead/customer with agent mapping
33,listofagentswithstatus,Lead/customer with agent mapping
34,popupincomecallanduseragentnumber,Lead/customer with agent mapping
35,Managerprofile,Manager profile
36,voicemailpanel,Manager profile
37,Popupofmanagersacceptance,Manager profile
38,NotifyManager,Manager profile
39,SalesAgentProfile,Sales Agent Profile
40,assigncalltoagent,Sales Agent Profile
41,popupwithrequestdetailoftheagent,Sales Agent Profile
42,viewagentactivitieslink,Sales Agent Profile
43,calls,calls
44,callfinishsanddisplaycalldetails,calls
45,thirdpartycallagency,calls
46,makeaphonecall,calls
47,callernumber,calls
48,notifycancelrequest,notifycancelrequest
49,requestmanagerconferencebutton,notifycancelrequest
50,conferencecancelnotification,notifycancelrequest
51,1800dialbutton,1800dialbutton
52,autodialinglist,1800dialbutton
53,TwilioAPI,TwilioAPI
54,connecttoTwilioAPIforcallsinfo,TwilioAPI
