id,element,useCase,type,component
1,User Agent:softphone screen,Call customers,entity,Create agent form
2,User Agent:lead detail,Call customers,entity,Lead customer profile
3,User Agent:call details,Call customers,boundary,calls
4,User Agent:leads list,Call customers,entity,Lead customer profile
5,User Agent:show leads list,Call customers,entity,Lead customer profile
6,User Agent:login page,Call customers,entity,Call logs
7,thirdparty call agency:call finishs and display call details,Call customers,boundary,calls
8,make a phone call:thirdparty call agency,Call customers,boundary,calls
9,call finishs and display call details:call details,Call customers,boundary,calls
10,check login information:login info,Call customers,entity,Call logs
11,check login information:show leads list,Call customers,entity,Lead customer profile
12,login page:check login information,Call customers,entity,Create agent form
13,query lead information:lead,Call customers,entity,Lead customer profile
14,query leads list:lead,Call customers,entity,Lead customer profile
15,lead detail:pop softphone screen,Call customers,entity,Create agent form
16,query lead information:lead detail,Call customers,entity,Lead customer profile
17,leads list:query lead information,Call customers,entity,Create agent form
18,query leads list:leads list,Call customers,entity,Lead customer profile
19,make a phone call:softphone screen,Call customers,entity,Create agent form
20,softphone screen:make a phone call,Call customers,boundary,calls
21,pop softphone screen:softphone screen,Call customers,entity,Create agent form
22,show leads list:query leads list,Call customers,entity,Lead customer profile
23,stl#User Agent:softphone screen,Call customers,Stimulus,undefined
24,stl#User Agent:lead detail,Call customers,Stimulus,undefined
25,stl#User Agent:call details,Call customers,Stimulus,undefined
26,stl#User Agent:leads list,Call customers,Stimulus,undefined
27,stl#User Agent:show leads list,Call customers,Stimulus,undefined
28,stl#User Agent:login page,Call customers,Stimulus,undefined
29,stl#thirdparty call agency:call finishs and display call details,Call customers,Stimulus,undefined
30,Manager:list of agents with status,Monitor Agents,boundary,Lead/customer with agent mapping
31,Manager:view agent activites button,Monitor Agents,entity,Create agent form
32,Manager:softphone screen,Monitor Agents,entity,Create agent form
33,connect to Twilio API for agent's call:Twilio API,Monitor Agents,control,TwilioAPI
34,query agent:agent,Monitor Agents,entity,Create agent form
35,connect to Twilio API for agent's call:softphone screen,Monitor Agents,entity,Create agent form
36,list of agents with status:connect to Twilio API for agent's call,Monitor Agents,control,TwilioAPI
37,query agent:list of agents with status,Monitor Agents,boundary,Lead/customer with agent mapping
38,view agent activites button:query agent,Monitor Agents,control,Agent manager mapping
39,stl#Manager:list of agents with status,Monitor Agents,Stimulus,undefined
40,stl#Manager:view agent activites button,Monitor Agents,Stimulus,undefined
41,stl#Manager:softphone screen,Monitor Agents,Stimulus,undefined
42,income call dialog:Agent,Receeive Calls,entity,Create agent form
43,Customer:1-800 dial button,Receeive Calls,entity,1800dialbutton
44,Lead:softphone screen,Receeive Calls,entity,Create agent form
45,Lead:1-800 dial button,Receeive Calls,entity,1800dialbutton
46,Lead:voice mail panel,Receeive Calls,boundary,Manager profile
47,Twilio API:save call log,Receeive Calls,entity,Call logs
48,Twilio API:popup income call dialog,Receeive Calls,entity,Call logs
49,Twilio API:redirect to void mail,Receeive Calls,control,Call Recordings
50,assign call to agent:Twilio API,Receeive Calls,control,TwilioAPI
51,1-800 dial button:assign call to agent,Receeive Calls,control,Sales Agent Profile
52,connect to Twilio API for agent's call:agent,Receeive Calls,entity,Create agent form
53,save call log:call log,Receeive Calls,entity,Call logs
54,connect to Twilio API for agent's call:softphone screen,Receeive Calls,entity,Create agent form
55,voice mail panel:connect to Twilio API for agent's call,Receeive Calls,control,TwilioAPI
56,popup income call dialog:income call dialog,Receeive Calls,entity,Call logs
57,redirect to void mail:voice mail panel,Receeive Calls,boundary,Manager profile
58,stl#Customer:1-800 dial button,Receeive Calls,Stimulus,undefined
59,stl#Lead:softphone screen,Receeive Calls,Stimulus,undefined
60,stl#Lead:1-800 dial button,Receeive Calls,Stimulus,undefined
61,stl#Lead:voice mail panel,Receeive Calls,Stimulus,undefined
62,stl#Twilio API:save call log,Receeive Calls,Stimulus,undefined
63,stl#Twilio API:popup income call dialog,Receeive Calls,Stimulus,undefined
64,stl#Twilio API:redirect to void mail,Receeive Calls,Stimulus,undefined
65,Lead:income call popup,Record calls and call details,control,Call Recordings
66,Twilio API:popup income call and customer's number,Record calls and call details,entity,Lead customer profile
67,Twilio API:popup income call and user agent number,Record calls and call details,boundary,Lead/customer with agent mapping
68,answer phone call:Twilio API,Record calls and call details,control,TwilioAPI
69,answer phone call:Twilio API,Record calls and call details,control,TwilioAPI
70,dial with Twilio API:Twilio API,Record calls and call details,control,TwilioAPI
71,User Agent:call/auto dialer button,Record calls and call details,entity,1800dialbutton
72,User Agent:income call popup,Record calls and call details,control,Call Recordings
73,caller number:customer,Record calls and call details,entity,Lead customer profile
74,caller number:answer phone call,Record calls and call details,boundary,calls
75,answer phone call:call log,Record calls and call details,entity,Call logs
76,income call popup:answer phone call,Record calls and call details,boundary,calls
77,call/auto dialer button:dial with Twilio API,Record calls and call details,control,TwilioAPI
78,popup income call and user agent number:caller number,Record calls and call details,boundary,calls
79,popup income call and customer's number:income call popup,Record calls and call details,control,Call Recordings
80,stl#Lead:income call popup,Record calls and call details,Stimulus,undefined
81,stl#Twilio API:popup income call and customer's number,Record calls and call details,Stimulus,undefined
82,stl#Twilio API:popup income call and user agent number,Record calls and call details,Stimulus,undefined
83,stl#User Agent:call/auto dialer button,Record calls and call details,Stimulus,undefined
84,stl#User Agent:income call popup,Record calls and call details,Stimulus,undefined
85,Sales Agent:dropdown list for removing lead,Remove lead from auto dialer list,entity,Lead customer profile
86,Sales Agent:success message for removing lead,Remove lead from auto dialer list,entity,Create agent form
87,remove lead from autodialing list:autodialing list,Remove lead from auto dialer list,entity,1800dialbutton
88,dropdown list for removing lead:remove lead from autodialing list,Remove lead from auto dialer list,entity,Lead customer profile
89,remove lead from autodialing list:success message for removing lead,Remove lead from auto dialer list,entity,Create agent form
90,stl#Sales Agent:dropdown list for removing lead,Remove lead from auto dialer list,Stimulus,undefined
91,stl#Sales Agent:success message for removing lead,Remove lead from auto dialer list,Stimulus,undefined
92,Customer:request manager conference button,Request Manager Conference,control,notifycancelrequest
93,Customer:Popup of manager's acceptance,Request Manager Conference,boundary,Manager profile
94,Customer:conference cancel notification,Request Manager Conference,control,notifycancelrequest
95,Manager:connect to ongoing call,Request Manager Conference,control,Call Recordings
96,Manager:popup with request detail of the agent,Request Manager Conference,control,Sales Agent Profile
97,Twilio API:Notify Manager,Request Manager Conference,boundary,Manager profile
98,Twilio API:notify cancel request,Request Manager Conference,control,notifycancelrequest
99,Twilio API:notify acceptance from manager,Request Manager Conference,boundary,Manager profile
100,send conference request:Twilio API,Request Manager Conference,control,TwilioAPI
101,connect to ongoing call:Twilio API,Request Manager Conference,control,TwilioAPI
102,Notify Manager:popup with request detail of the agent,Request Manager Conference,control,Sales Agent Profile
103,Popup of manager's acceptance:autodialing list,Request Manager Conference,entity,1800dialbutton
104,notify acceptance from manager:Popup of manager's acceptance,Request Manager Conference,boundary,Manager profile
105,notify cancel request:conference cancel notification,Request Manager Conference,control,notifycancelrequest
106,request manager conference button:send conference request,Request Manager Conference,control,notifycancelrequest
107,stl#Customer:request manager conference button,Request Manager Conference,Stimulus,undefined
108,stl#Customer:Popup of manager's acceptance,Request Manager Conference,Stimulus,undefined
109,stl#Customer:conference cancel notification,Request Manager Conference,Stimulus,undefined
110,stl#Manager:connect to ongoing call,Request Manager Conference,Stimulus,undefined
111,stl#Manager:popup with request detail of the agent,Request Manager Conference,Stimulus,undefined
