id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,User:Access all student information-->Access all student information:Show all students data-->Show all students data:Database,EI,1,3,0,2,1,control->control->entity
2,User:Homepage-->Homepage:Show all students data-->Show all students data:Database,EI,1,3,0,2,1,control->control->entity
3,User:Access all resources button-->Access all resources button:Show lists of resources-->Show lists of resources:Show resources information-->Show resources information:Homepage,EQ,1,4,0,4,0,control->control->control->control
4,User:Chose resources-->Chose resources:Show resources information-->Show resources information:Homepage,EQ,1,3,0,3,0,control->control->control
5,User:Homepage,EQ,0,1,0,1,0,control
6,User:close resources-->close resources:Show resources information-->Show resources information:Homepage,EQ,1,3,0,3,0,control->control->control
7,User:input user imformation-->input user imformation:Display user information,EQ,0,2,0,2,0,control->control
8,User:Select attendance and semester-->Select attendance and semester:Show user-->Show user:Display user information-->Display user information:Save changes in database-->Save changes in database:Homepage,EQ,2,5,0,4,1,control->control->control->entity->control
9,User:Select attendance and semester-->Select attendance and semester:Show user-->Show user:Display user information-->Display user information:Save changes in database-->Save changes in database:Database,EI,2,5,0,3,2,control->control->control->entity->entity
10,User:Select attendance and semester-->Select attendance and semester:Show user-->Show user:Display user information-->Display user information:Homepage,EQ,2,4,0,4,0,control->control->control->control
11,User:Select attendance and semester-->Select attendance and semester:Show user-->Show user:Display user information-->Display user information:Database,EI,1,4,0,3,1,control->control->control->entity
12,User:input user imformation-->input user imformation:Display user information-->Display user information:Save changes in database-->Save changes in database:Homepage,EQ,1,4,0,3,1,control->control->entity->control
13,User:input user imformation-->input user imformation:Display user information-->Display user information:Save changes in database-->Save changes in database:Database,EI,1,4,0,2,2,control->control->entity->entity
14,User:input user imformation-->input user imformation:Display user information-->Display user information:Homepage,EQ,1,3,0,3,0,control->control->control
15,User:input user imformation-->input user imformation:Display user information-->Display user information:Database,EI,0,3,0,2,1,control->control->entity
16,User:Input user information page-->Input user information page:Show options-->Show options:Show user-->Show user:Display user information-->Display user information:Save changes in database-->Save changes in database:Homepage,EQ,2,6,0,5,1,control->control->control->control->entity->control
17,User:Input user information page-->Input user information page:Show options-->Show options:Show user-->Show user:Display user information-->Display user information:Save changes in database-->Save changes in database:Database,EI,2,6,0,4,2,control->control->control->control->entity->entity
18,User:Input user information page-->Input user information page:Show options-->Show options:Show user-->Show user:Display user information-->Display user information:Homepage,EQ,2,5,0,5,0,control->control->control->control->control
19,User:Input user information page-->Input user information page:Show options-->Show options:Show user-->Show user:Display user information-->Display user information:Database,EI,1,5,0,4,1,control->control->control->control->entity
20,User:Input user information page-->Input user information page:Display user information-->Display user information:Save changes in database-->Save changes in database:Homepage,EQ,1,4,0,3,1,control->control->entity->control
21,User:Input user information page-->Input user information page:Display user information-->Display user information:Save changes in database-->Save changes in database:Database,EI,1,4,0,2,2,control->control->entity->entity
22,User:Input user information page-->Input user information page:Display user information-->Display user information:Homepage,EQ,1,3,0,3,0,control->control->control
23,User:Input user information page-->Input user information page:Display user information-->Display user information:Database,EI,0,3,0,2,1,control->control->entity
24,User:Select class-->Select class:Display user information-->Display user information:Save changes in database-->Save changes in database:Homepage,EQ,1,4,0,3,1,control->control->entity->control
25,User:Select class-->Select class:Display user information-->Display user information:Save changes in database-->Save changes in database:Database,EI,1,4,0,2,2,control->control->entity->entity
26,User:Select class-->Select class:Display user information-->Display user information:Homepage,EQ,1,3,0,3,0,control->control->control
27,User:Select class-->Select class:Display user information-->Display user information:Database,EI,0,3,0,2,1,control->control->entity
28,User:select class-->select class:Display user information-->Display user information:Save changes in database-->Save changes in database:Homepage,EQ,1,4,0,3,1,control->control->entity->control
29,User:select class-->select class:Display user information-->Display user information:Save changes in database-->Save changes in database:Database,EI,1,4,0,2,2,control->control->entity->entity
30,User:select class-->select class:Display user information-->Display user information:Homepage,EQ,1,3,0,3,0,control->control->control
31,User:select class-->select class:Display user information-->Display user information:Database,EI,0,3,0,2,1,control->control->entity
32,User:input user imformation-->input user imformation:Save changes in database-->Save changes in database:Homepage,EQ,1,3,0,2,1,control->entity->control
33,User:input user imformation-->input user imformation:Save changes in database-->Save changes in database:Database,EI,1,3,0,1,2,control->entity->entity
34,User:Input users information-->Input users information:Save changes in database-->Save changes in database:Homepage,EQ,1,3,0,2,1,control->entity->control
35,User:Input users information-->Input users information:Save changes in database-->Save changes in database:Database,EI,1,3,0,1,2,control->entity->entity
36,User:Input users information-->Input users information:Display user information-->Display user information:Save changes in database-->Save changes in database:Homepage,EQ,1,4,0,3,1,control->control->entity->control
37,User:Input users information-->Input users information:Display user information-->Display user information:Save changes in database-->Save changes in database:Database,EI,1,4,0,2,2,control->control->entity->entity
38,User:Input users information-->Input users information:Display user information-->Display user information:Homepage,EQ,1,3,0,3,0,control->control->control
39,User:Input users information-->Input users information:Display user information-->Display user information:Database,EI,0,3,0,2,1,control->control->entity
40,User:Login page-->Login page:Validate username and password-->Validate username and password:Redirect to homepage-->Redirect to homepage:Display confirmation  page -->Display confirmation  page :Login page-->Login page:Validate username and password,EQ,3,6,0,4,2,control->entity->control->control->control->entity
41,User:Login page-->Login page:Validate username and password-->Validate username and password:Redirect to homepage-->Redirect to homepage:Display confirmation  page -->Display confirmation  page :Homepage,EQ,3,5,0,4,1,control->entity->control->control->control
42,User:Logout page-->Logout page:Log out and  terminate the session-->Log out and  terminate the session:Validate username and password-->Validate username and password:Display confirmation page-->Display confirmation page:Homepage,EQ,2,5,0,4,1,control->control->entity->control->control
43,User:add-->add:Update user information-->Update user information:Homepage,EI,2,3,1,2,0,boundary->control->control
44,User:add-->add:Update user information-->Update user information:Database,EI,1,3,1,1,1,boundary->control->entity
45,User:Update-->Update:Update user information-->Update user information:Homepage,EO,1,3,0,2,1,entity->control->control
46,User:Update-->Update:Update user information-->Update user information:Database,EI,0,3,0,1,2,entity->control->entity
47,User:Manage user button-->Manage user button:Show all users-->Show all users:Update user information-->Update user information:Homepage,EQ,1,4,0,4,0,control->control->control->control
48,User:Manage user button-->Manage user button:Show all users-->Show all users:Update user information-->Update user information:Database,EI,0,4,0,3,1,control->control->control->entity
49,User:delete-->delete:Update user information-->Update user information:Homepage,EI,1,3,1,2,0,boundary->control->control
50,User:delete-->delete:Update user information-->Update user information:Database,EI,0,3,1,1,1,boundary->control->entity
51,User:Add-->Add:Update user information-->Update user information:Homepage,EI,2,3,1,2,0,boundary->control->control
52,User:Add-->Add:Update user information-->Update user information:Database,EI,1,3,1,1,1,boundary->control->entity
53,User:update-->update:Update user information-->Update user information:Homepage,EO,1,3,0,2,1,entity->control->control
54,User:update-->update:Update user information-->Update user information:Database,EI,0,3,0,1,2,entity->control->entity
55,User:Delete -->Delete :Update user information-->Update user information:Homepage,EI,1,3,1,2,0,boundary->control->control
56,User:Delete -->Delete :Update user information-->Update user information:Database,EI,0,3,1,1,1,boundary->control->entity
57,User:delete-->delete:Update information of resource-->Update information of resource:Homepage,EI,1,3,1,2,0,boundary->control->control
58,User:delete-->delete:Update information of resource-->Update information of resource:Database,EI,0,3,1,1,1,boundary->control->entity
59,User:add-->add:Update information of resource-->Update information of resource:Homepage,EI,2,3,1,2,0,boundary->control->control
60,User:add-->add:Update information of resource-->Update information of resource:Database,EI,1,3,1,1,1,boundary->control->entity
