id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Showlistsofsemesters,undefined,undefined,undefined,undefined,undefined,undefined
2,teacher,undefined,undefined,undefined,undefined,undefined,undefined
3,Object1,undefined,undefined,undefined,undefined,undefined,undefined
4,Homepage,undefined,undefined,undefined,undefined,undefined,undefined
5,Accessallstudentinformation,undefined,undefined,undefined,undefined,undefined,undefined
6,Database,undefined,undefined,undefined,undefined,undefined,undefined
7,Delete,undefined,undefined,undefined,undefined,undefined,undefined
8,Add,undefined,undefined,undefined,undefined,undefined,undefined
