id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,User->Ask a question button->display ask a question form->question form,EQ,CTRL|INT,4,undefined,1,0,1,Submit questions and responses,Submit questions and responses
2,User->question form->save questions->questions,EI,CTRL|DM|EI,4,undefined,1,1,1,Submit questions and responses,Submit questions and responses
3,Client->load questions button->load questions->create a response button,EQ,CTRL|INT,4,undefined,1,0,1,Submit questions and responses,Submit questions and responses
4,Client->load questions button->load questions->questions,EI,CTRL|DM|EI,4,undefined,1,1,1,Submit questions and responses,Submit questions and responses
5,Client->create a response button->check if the question is already answered->display create a response page->create a response page,EQ,CTRL|INT,5,undefined,2,0,1,Submit questions and responses,Submit questions and responses
6,Client->create a response button->check if the question is already answered->Send notification->notification,EI,CTRL|DM|EI,5,undefined,2,1,1,Submit questions and responses,Submit questions and responses
7,Client->create a response button->check if the question is already answered->response,EI,CTRL|DM|EI,4,undefined,1,1,1,Submit questions and responses,Submit questions and responses
8,Client->create a response page->save the response to db->response,EI,CTRL|DM|EI,4,undefined,1,1,1,Submit questions and responses,Submit questions and responses
9,Admin->load questions button->load questions->create a response button,EQ,CTRL|INT,4,undefined,1,0,1,Submit questions and responses,Submit questions and responses
10,Admin->load questions button->load questions->questions,EI,CTRL|DM|EI,4,undefined,1,1,1,Submit questions and responses,Submit questions and responses
11,Admin->create a response page->save the response to db->response,EI,CTRL|DM|EI,4,undefined,1,1,1,Submit questions and responses,Submit questions and responses
12,Admin->create a response button->check if the question is already answered->display create a response page->create a response page,EQ,CTRL|INT,5,undefined,2,0,1,Submit questions and responses,Submit questions and responses
13,Admin->create a response button->check if the question is already answered->Send notification->notification,EI,CTRL|DM|EI,5,undefined,2,1,1,Submit questions and responses,Submit questions and responses
14,Admin->create a response button->check if the question is already answered->response,EI,CTRL|DM|EI,4,undefined,1,1,1,Submit questions and responses,Submit questions and responses
