id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,NavigateManageSubscription,control,1,1,Manage Trip Plan,Manage Trip Plan,
2,Trip Calendar Page,boundary,0,1,Manage Trip Plan,Manage Trip Plan,
3,Annotates Trip Plan with Photos Page,boundary,0,1,Manage Trip Plan,Manage Trip Plan,
4,Share trip plan page,boundary,0,1,Manage Trip Plan,Manage Trip Plan,
5,Manage subscriptions page,boundary,0,1,Manage Trip Plan,Manage Trip Plan,
6,NavigateTripCalendar,control,1,1,Manage Trip Plan,Manage Trip Plan,
7,NavigateAnnotation,control,1,1,Manage Trip Plan,Manage Trip Plan,
8,NavigateShareTripPlan,control,1,1,Manage Trip Plan,Manage Trip Plan,
9,DeleteTripPlan,control,1,1,Manage Trip Plan,Manage Trip Plan,
10,Find or Add Places Page,boundary,0,1,Manage Trip Plan,Manage Trip Plan,
11,Navigation Delete Places,control,1,1,Manage Trip Plan,Manage Trip Plan,
12,Trip Plans Database,entity,0,1,Manage Trip Plan,Manage Trip Plan,
13,TripPlanDetaillsPage,boundary,6,4,Manage Trip Plan,Manage Trip Plan,
14,AddTripPlan,control,1,1,Manage Trip Plan,Manage Trip Plan,
15,NavigateFindorAddPlaces,control,1,1,Manage Trip Plan,Manage Trip Plan,
16,Manage Trip Plans,control,2,1,Manage Trip Plan,Manage Trip Plan,
17,Traveler,actor,2,0,Manage Trip Plan,Manage Trip Plan,
18,Travel Plan Home Page,boundary,3,2,Manage Trip Plan,Manage Trip Plan,
