id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,<<block>>       Google Cloud Datastore,0,0,0,0,0,0
2,<<block>>    <<system>>   Meeting minutes Android,0,0,203,0,0,0
3,<<block>>   Google App Engine BackEnd Server,0,0,0,0,0,0
4,Meeting,0,0,0,0,0,0
5,Meeting Log,0,0,0,0,0,0
6,Meeting Minute,0,0,0,0,0,0
7,Meeting Minute Content,0,0,0,0,0,0
8,Project,0,0,0,0,0,0
9,Status Notification,0,0,0,0,0,0
10,Account Controller,0,0,0,0,0,0
11,Approve Signup Screen,0,0,0,0,0,0
12,Class1,0,0,0,0,0,1
13,Class2,0,0,0,0,0,0
14,Edit Profile Screen,0,0,0,0,0,0
15,Login Screen,0,0,0,0,0,0
16,SignUp Screen,1,1,2,0,1,0
17,User,0,0,0,0,0,0
18,User End Points,0,0,0,0,0,0
19,<<entity>>  Comment  Datastore,0,0,0,0,0,0
20,<<entity>>  Meeting  Datastore,0,0,0,0,0,0
21,<<entity>>  Minute  Datastore,0,0,0,0,0,0
22,<<entity>>  Project  Datastore,0,0,0,0,0,0
23,<<entity>>  User  Datastore,0,0,0,0,0,0
24,Commentt EndPoints,0,0,0,0,0,0
25,Meeting EndPoints,0,0,0,0,0,0
26,Minute EndPoints,0,0,0,0,0,0
27,Objectify,0,0,0,0,0,0
28,Project EndPoints,0,0,0,0,0,0
29,Usert EndPoints,0,0,0,0,0,0
30,Hompage,0,0,0,0,0,0
