id,element,useCase,type,outboundDegree,inboundDegree
1,Review/Agent:Blank fields popup,Reviewer/Agent Login,0,undefined,undefined
2,Review/Agent:unauthoried access popup,Reviewer/Agent Login,0,undefined,undefined
3,Review/Agent:Login screen,Reviewer/Agent Login,0,undefined,undefined
4,Review/Agent:Invalid user popup,Reviewer/Agent Login,0,undefined,undefined
5,Query for valid users:Account collection,Reviewer/Agent Login,0,undefined,undefined
6,Blank fields popup:check blank fields,Reviewer/Agent Login,0,undefined,undefined
7,Invalid user alert:Query for valid users,Reviewer/Agent Login,0,undefined,undefined
8,Invalid user popup:Invalid user alert,Reviewer/Agent Login,0,undefined,undefined
9,Invalid user popup:check blank fields,Reviewer/Agent Login,0,undefined,undefined
10,Login screen:check blank fields,Reviewer/Agent Login,0,undefined,undefined
11,Validate user:Query for valid users,Reviewer/Agent Login,0,undefined,undefined
12,privileges alert:Query for valid users,Reviewer/Agent Login,0,undefined,undefined
13,check blank fields:Validate user,Reviewer/Agent Login,0,undefined,undefined
14,unauthoried access popup:privileges alert,Reviewer/Agent Login,0,undefined,undefined
15,stl#Review/Agent:Blank fields popup,Reviewer/Agent Login,0,undefined,undefined
16,stl#Review/Agent:unauthoried access popup,Reviewer/Agent Login,0,undefined,undefined
17,stl#Review/Agent:Login screen,Reviewer/Agent Login,0,undefined,undefined
18,stl#Review/Agent:Invalid user popup,Reviewer/Agent Login,0,undefined,undefined
