id,element,useCase,type,outboundDegree,inboundDegree
1,User:Single weapon,Change Weapon,0,undefined,undefined
2,User:Weapons Bar,Change Weapon,0,undefined,undefined
3,Check if weapon availble:Display weapons,Change Weapon,0,undefined,undefined
4,Check if weapon availble:User Account,Change Weapon,0,undefined,undefined
5,Single weapon:Choose a main weapon,Change Weapon,0,undefined,undefined
6,Display weapons:Choose a main weapon,Change Weapon,0,undefined,undefined
7,Weapons Bar:Display weapons,Change Weapon,0,undefined,undefined
8,stl#User:Single weapon,Change Weapon,0,undefined,undefined
9,stl#User:Weapons Bar,Change Weapon,0,undefined,undefined
