id,element,useCase,type,component
1,User:node is not updated message,Edit nodes in table,boundary,CategoryModel
2,User:Sphere overview,Edit nodes in table,boundary,EditSphereView
3,User:success message,Edit nodes in table,boundary,ManageAccountView
4,User:a list of ones,Edit nodes in table,boundary,buildsalistofmatches
5,User:List of usrs with specific sphere,Edit nodes in table,boundary,EditSphereView
6,List of usrs with specific sphere:add association in db,Edit nodes in table,control,VizualizationView
7,update DB with new values:List of usrs with specific sphere,Edit nodes in table,boundary,EditSphereView
8,Redirect to sphere overview:Sphere overview,Edit nodes in table,boundary,EditSphereView
9,update DB with new values:Redirect to sphere overview,Edit nodes in table,boundary,EditSphereView
10,a list of ones:update DB with new values,Edit nodes in table,control,DataValidator
11,add association in db:sends notification to second user,Edit nodes in table,control,AuthorizationChecker
12,update DB with new values:node is not updated message,Edit nodes in table,boundary,CategoryModel
13,update DB with new values:nodes,Edit nodes in table,control,QuestionModel
14,sends notification to second user:success message,Edit nodes in table,boundary,ManageAccountView
15,stl#User:node is not updated message,Edit nodes in table,Stimulus,undefined
16,stl#User:Sphere overview,Edit nodes in table,Stimulus,undefined
17,stl#User:success message,Edit nodes in table,Stimulus,undefined
18,stl#User:a list of ones,Edit nodes in table,Stimulus,undefined
19,stl#User:List of usrs with specific sphere,Edit nodes in table,Stimulus,undefined
