id,element,useCase,type,component
1,Administrator:case information page,Check case information,control,Usermanagementbutton
2,Administrator:document list,Check case information,control,Usermanagementbutton
3,Administrator:unauthorized request message,Check case information,boundary,activationsuccessmessage
4,print:Administrator,Check case information,boundary,Administrator
5,Administrator:unauthorized request,Check case information,boundary,unauthorizedrequest
6,Administrator:document list,Check case information,control,Usermanagementbutton
7,Administrator:unauthorized request message,Check case information,boundary,unauthorizedrequest
8,Administrator:case information page,Check case information,control,Usermanagementbutton
9,Case Manager:unauthorized request,Check case information,boundary,unauthorizedrequest
10,Case Manager:case information page,Check case information,control,Usermanagementbutton
11,Case Manager:document list,Check case information,control,Usermanagementbutton
12,Case Manager:unauthorized request message,Check case information,boundary,unauthorizedrequest
13,General staff:document list,Check case information,control,Usermanagementbutton
14,General staff:unauthorized request message,Check case information,boundary,unauthorizedrequest
15,General staff:case information page,Check case information,control,Usermanagementbutton
16,download:General staff,Check case information,control,Usermanagementbutton
17,Youth:case information page,Check case information,control,Usermanagementbutton
18,Youth:unauthorized request message,Check case information,boundary,unauthorizedrequest
19,Youth:unauthorized request,Check case information,boundary,unauthorizedrequest
20,Youth:document list,Check case information,control,Usermanagementbutton
21,Validate print/download request:role,Check case information,entity,role
22,Validate print/download request:unauthorized request,Check case information,boundary,unauthorizedrequest
23,Validate print/download request:print,Check case information,control,print
24,Validate print/download request:download,Check case information,boundary,download
25,case information page:Validate print/download request,Check case information,boundary,download
26,display case information page:case information,Check case information,control,Usermanagementbutton
27,display case information page:case information page,Check case information,control,Usermanagementbutton
28,verify the role of the user:display case information page,Check case information,control,Usermanagementbutton
29,document list:verify the role of the user,Check case information,control,checkthestatusofuser
30,verify the role of the user:role,Check case information,entity,role
31,verify the role of the user:unauthorized request message,Check case information,boundary,unauthorizedrequest
32,stl#Administrator:case information page,Check case information,Stimulus,undefined
33,stl#Administrator:document list,Check case information,Stimulus,undefined
34,stl#Administrator:unauthorized request message,Check case information,Stimulus,undefined
35,stl#Administrator:unauthorized request,Check case information,Stimulus,undefined
36,stl#Administrator:document list,Check case information,Stimulus,undefined
37,stl#Administrator:unauthorized request message,Check case information,Stimulus,undefined
38,stl#Administrator:case information page,Check case information,Stimulus,undefined
39,stl#Case Manager:unauthorized request,Check case information,Stimulus,undefined
40,stl#Case Manager:case information page,Check case information,Stimulus,undefined
41,stl#Case Manager:document list,Check case information,Stimulus,undefined
42,stl#Case Manager:unauthorized request message,Check case information,Stimulus,undefined
43,stl#General staff:document list,Check case information,Stimulus,undefined
44,stl#General staff:unauthorized request message,Check case information,Stimulus,undefined
45,stl#General staff:case information page,Check case information,Stimulus,undefined
46,stl#Youth:case information page,Check case information,Stimulus,undefined
47,stl#Youth:unauthorized request message,Check case information,Stimulus,undefined
48,stl#Youth:unauthorized request,Check case information,Stimulus,undefined
49,stl#Youth:document list,Check case information,Stimulus,undefined
