id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,AppsArrayPageAdapter,0,0,0,0,0,0
2,AllTheAppsLayout,0,0,0,0,0,0
3,AppInfoView,0,0,0,0,0,0
4,TorchLightManager,0,0,0,0,0,0
5,SystemAppsDBHelper,0,0,0,0,0,0
6,HorizontallySwipeableLayout,0,0,0,0,0,0
7,HorizontallySwipeDetector,0,0,0,0,0,0
8,ArtistAlbumBrowserActivity,0,0,0,0,0,0
9,QueryBrowserActivity,0,0,0,0,0,0
10,TrackBrowserActivity,0,0,0,0,0,0
11,WeekSelector,0,0,0,0,0,0
12,SystemUIService,0,0,0,0,0,0
13,AlbumBrowserActivity,0,0,0,0,0,0
14,NotificationRowLayout,0,0,0,0,0,0
15,SwipeLayout,0,0,0,0,0,0
16,LoadAverageService,0,0,0,0,0,0
17,PullUpUIManager,0,0,0,0,0,0
18,MediaAppWidgetProvider,0,0,0,0,0,0
19,MusicUtils,0,0,0,0,0,0
20,DessertCaseDream,0,0,0,0,0,0
21,DelegateViewHelper,0,0,0,0,0,0
22,BaseStatusBar,0,0,0,0,0,0
23,DateView,0,0,0,0,0,0
24,ImageWallpaper,0,0,0,0,0,0
25,ExpandHelper,0,0,0,0,0,0
26,BatteryMeterView,0,0,0,0,0,0
27,NotificationPlayer,0,0,0,0,0,0
28,IconMerger,0,0,0,0,0,0
29,RecentsActivity,0,0,0,0,0,0
30,PhoneStatusBarPolicy,0,0,0,0,0,0
31,DeadZone,0,0,0,0,0,0
32,RecentsVerticalScrollView,0,0,0,0,0,0
33,QuickSettingsBasicTile,0,0,0,0,0,0
34,SaveImageInBackgroundTask,0,0,0,0,0,0
35,TakeScreenshotService,0,0,0,0,0,0
36,BrightnessController,0,0,0,0,0,0
37,BatteryController,0,0,0,0,0,0
38,QuickSettingsContainerView,0,0,0,0,0,0
39,BrightnessDialog,0,0,0,0,0,0
40,SettingsUI,0,0,0,0,0,0
41,NotificationPanelView,0,0,0,0,0,0
42,LocationController,0,0,0,0,0,0
43,NotificationData,0,0,0,0,0,0
44,RotationLockController,0,0,0,0,0,0
45,BluetoothController,0,0,0,0,0,0
46,QuickSettingsTileView,0,0,0,0,0,0
47,SystemBars,0,0,0,0,0,0
48,SignalClusterView,0,0,0,0,0,0
49,UsbDisconnectedReceiver,0,0,0,0,0,0
50,NetworkController,0,0,0,0,0,0
51,UsbDebuggingActivity,0,0,0,0,0,0
52,StorageNotification,0,0,0,0,0,0
53,UsbConfirmActivity,0,0,0,0,0,0
54,PanelBar,0,0,0,0,0,0
55,PanelHolder,0,0,0,0,0,0
56,QuickSettingsModel,0,0,0,0,0,0
57,KeyguardTouchDelegate,0,0,0,0,0,0
58,PhoneStatusBar,0,0,0,0,0,0
59,StatusBarIconView,0,0,0,0,0,0
60,ExpandableNotificationRow,0,0,0,0,0,0
61,CommandQueue,0,0,0,0,0,0
62,CurrentUserTracker,0,0,0,0,0,0
63,ToggleSlider,0,0,0,0,0,0
64,SaveImageInBackgroundData,0,0,0,0,0,0
65,DemoStatusIcons,0,0,0,0,0,0
66,StatusBarWindowView,0,0,0,0,0,0
67,PhoneStatusBarView,0,0,0,0,0,0
68,PhoneStatusBarTransitions,0,0,0,0,0,0
69,BarTransitions,0,0,0,0,0,0
70,NavigationBarView,0,0,0,0,0,0
71,ColorDrawableWithDimensions,0,0,0,0,0,0
72,NavigationBarTransitions,0,0,0,0,0,0
73,QuickSettings,0,0,0,0,0,0
74,FadedEdgeDrawHelper,0,0,0,0,0,0
75,TaskDescription,0,0,0,0,0,0
76,SystemUI,0,0,0,0,0,0
77,HeadsUpNotificationView,0,0,0,0,0,0
78,RufusNavBarView,0,0,0,0,0,0
79,Ticker,0,0,0,0,0,0
80,PullUpManager,0,0,0,0,0,0
81,BootReceiver,0,0,0,0,0,0
82,NavCtrlHolderManager,0,0,0,0,0,0
83,SyncSetting,0,0,0,0,0,0
84,RufusNavBarTransitions,0,0,0,0,0,0
85,NavCtrlHolderUI,0,0,0,0,0,0
86,SwipeHelper,0,0,0,0,0,0
87,ControlPanelManager,0,0,0,0,0,0
88,AppInfo,0,0,0,0,0,0
89,ControlPanelLayout,0,0,0,0,0,0
