id,attribute,type,element,diagram
1,Description,char,Stop,Domain Objects
2,GeoCoordX,float,Stop,Domain Objects
3,GeoCoordY,float,Stop,Domain Objects
4,Name,char,Stop,Domain Objects
5,OtherInfo,char,Stop,Domain Objects
6,StopID,int,Stop,Domain Objects
7,Tags,char,Stop,Domain Objects
8,TourID,int,Stop,Domain Objects
9,URL,char,Stop,Domain Objects
10,ID,int,Owner,Domain Objects
11,Name,char,Owner,Domain Objects
12,TourCreatorId,int,Tour,Domain Objects
13,TourId,int,Tour,Domain Objects
14,TourTags,char,Tour,Domain Objects
15,CreatorID,int,TourCreator,Domain Objects
16,DateofJoin,date,TourCreator,Domain Objects
17,Name,char,TourCreator,Domain Objects
18,OwnerID,int,TourCreator,Domain Objects
