id,element,useCase,type,outboundDegree,inboundDegree
1,Traveler:Login page,Login to TripPlanner,0,undefined,undefined
2,Display home page:Is username/password correct?,Login to TripPlanner,0,undefined,undefined
3,Email password:Display home page,Login to TripPlanner,0,undefined,undefined
4,Display login page:Login page,Login to TripPlanner,0,undefined,undefined
5,Does username exist?:Email password,Login to TripPlanner,0,undefined,undefined
6,Login page:Does username exist?,Login to TripPlanner,0,undefined,undefined
7,Email password:Partner data,Login to TripPlanner,0,undefined,undefined
8,Enter username and password:Login page,Login to TripPlanner,0,undefined,undefined
9,Is username/password correct?:Enter username and password,Login to TripPlanner,0,undefined,undefined
10,Is username/password correct?:Search result page,Login to TripPlanner,0,undefined,undefined
11,stl#Traveler:Login page,Login to TripPlanner,0,undefined,undefined
