id,element,useCase,type,component
1,Administrator:meeting publish button,Send notification,control,Meeting
2,User:Task list with comment box,Send notification,control,Meeting Minute Comment
3,Task list with comment box:add comment,Send notification,control,Meeting Minute Comment
4,add comment:comment,Send notification,control,Meeting Minute Comment
5,add comment:send notification,Send notification,entity,Status Notification
6,publish meeting:meeting,Send notification,control,Meeting
7,meeting publish button:publish meeting,Send notification,control,Meeting
8,send notification:notification,Send notification,entity,Status Notification
9,send notification:notification,Send notification,entity,Status Notification
10,publish meeting:send notification,Send notification,entity,Status Notification
11,stl#Administrator:meeting publish button,Send notification,Stimulus,undefined
12,stl#User:Task list with comment box,Send notification,Stimulus,undefined
