id,path,transactional,path_length,diagram,useCase
1,Traveler->Login page->check login->Travel Book,CTRL,4,Connect to trip plan,Connect to trip plan - Trip Planner
2,Traveler->Login page->check login->Travel Book,INT,4,Connect to trip plan,Connect to trip plan - Trip Planner
3,Traveler->Login page->check login->Connect to trip plan cloud database->Trip plan cloud database->Get personnel trip plan information->Trip plan homepage,CTRL,7,Connect to trip plan,Connect to trip plan - Trip Planner
4,Traveler->Login page->check login->Connect to trip plan cloud database->Trip plan cloud database->Get personnel trip plan information->Trip plan homepage,DM,7,Connect to trip plan,Connect to trip plan - Trip Planner
5,Traveler->Login page->check login->Connect to trip plan cloud database->Trip plan cloud database->Get personnel trip plan information->Trip plan homepage,EQ,7,Connect to trip plan,Connect to trip plan - Trip Planner
6,Traveler->Login page->check login->Connect to trip plan cloud database->Trip plan cloud database->Get personnel trip plan information->Trip plan homepage,INT,7,Connect to trip plan,Connect to trip plan - Trip Planner
7,Traveler->Login page->check login->Connect to trip plan cloud database->Travel Book,CTRL,5,Connect to trip plan,Connect to trip plan - Trip Planner
8,Traveler->Login page->check login->Connect to trip plan cloud database->Travel Book,INT,5,Connect to trip plan,Connect to trip plan - Trip Planner
9,Traveler->Travel Book->Already logged in?->Login page,CTRL,4,Connect to trip plan,Connect to trip plan - Trip Planner
10,Traveler->Travel Book->Already logged in?->Login page,INT,4,Connect to trip plan,Connect to trip plan - Trip Planner
11,Traveler->Travel Book->Already logged in?->Connect to trip plan cloud database->Trip plan cloud database->Get personnel trip plan information->Trip plan homepage,CTRL,7,Connect to trip plan,Connect to trip plan - Trip Planner
12,Traveler->Travel Book->Already logged in?->Connect to trip plan cloud database->Trip plan cloud database->Get personnel trip plan information->Trip plan homepage,DM,7,Connect to trip plan,Connect to trip plan - Trip Planner
13,Traveler->Travel Book->Already logged in?->Connect to trip plan cloud database->Trip plan cloud database->Get personnel trip plan information->Trip plan homepage,EQ,7,Connect to trip plan,Connect to trip plan - Trip Planner
14,Traveler->Travel Book->Already logged in?->Connect to trip plan cloud database->Trip plan cloud database->Get personnel trip plan information->Trip plan homepage,INT,7,Connect to trip plan,Connect to trip plan - Trip Planner
