id,element,useCase,type,component
1,User:"Delete" Button,Delete micro website,boundary,DeleteButton
2,User:Micro Website Management Page,Delete micro website,boundary,Microwebsite
3,User:pdf format is not valid message,Delete micro website,control,pdfformatisnotvalidmessage
4,User:Confirm box,Delete micro website,control,Confirmbox
5,"Delete" Button:Popup a confirm box,Delete micro website,control,Confirmbox
6,Popup a confirm box:"Delete" Button,Delete micro website,boundary,DeleteButton
7,Confirm box:Delete micro website,Delete micro website,boundary,Microwebsite
8,Popup a confirm box:Confirm box,Delete micro website,control,Confirmbox
9,Deactivate the link:Micro website,Delete micro website,boundary,Microwebsite
10,Deactivate the link:Direct to micro website management,Delete micro website,boundary,Microwebsite
11,Delete micro website:Deactivate the link,Delete micro website,control,pdfformatisnotvalidmessage
12,Delete micro website:Micro website,Delete micro website,boundary,Microwebsite
13,Delete micro website:pdf format is not valid message,Delete micro website,control,pdfformatisnotvalidmessage
14,Direct to micro website management:Redirect to micro website management page,Delete micro website,boundary,Microwebsite
15,Direct to micro website management:Micro Website Management Page,Delete micro website,boundary,Microwebsite
16,Redirect to micro website management page:Micro Website Management Page,Delete micro website,boundary,Microwebsite
17,stl#User:"Delete" Button,Delete micro website,Stimulus,undefined
18,stl#User:Micro Website Management Page,Delete micro website,Stimulus,undefined
19,stl#User:pdf format is not valid message,Delete micro website,Stimulus,undefined
20,stl#User:Confirm box,Delete micro website,Stimulus,undefined
21,undefined,Search Content,undefined,Object1
22,stl#undefined,Search Content,Stimulus,undefined
23,User:shwo success message,Subscribe latest news,control,pdfformatisnotvalidmessage
24,User:No record exist message,Subscribe latest news,control,pdfformatisnotvalidmessage
25,User:error message,Subscribe latest news,control,pdfformatisnotvalidmessage
26,User:the email has already subscribed message,Subscribe latest news,control,checkemailredundancy
27,User:subscribe bar on website,Subscribe latest news,boundary,DeleteButton
28,User:error message,Subscribe latest news,control,pdfformatisnotvalidmessage
29,display error message when no record exists:No record exist message,Subscribe latest news,control,pdfformatisnotvalidmessage
30,add a subscriber recorder into the database:shwo success message,Subscribe latest news,control,pdfformatisnotvalidmessage
31,add a subscriber recorder into the database:error message,Subscribe latest news,control,pdfformatisnotvalidmessage
32,add a subscriber recorder into the database:website content,Subscribe latest news,boundary,DeleteButton
33,display error message when no record exists:add a subscriber recorder into the database,Subscribe latest news,control,addasubscriberrecorderintothedatabase
34,check email redundancy:display error message when no record exists,Subscribe latest news,control,pdfformatisnotvalidmessage
35,subscribe bar on website:check email redundancy,Subscribe latest news,control,checkemailredundancy
36,display error message when no record exists:error message,Subscribe latest news,control,pdfformatisnotvalidmessage
37,display error message when no record exists:the email has already subscribed message,Subscribe latest news,control,addasubscriberrecorderintothedatabase
38,stl#User:shwo success message,Subscribe latest news,Stimulus,undefined
39,stl#User:No record exist message,Subscribe latest news,Stimulus,undefined
40,stl#User:error message,Subscribe latest news,Stimulus,undefined
41,stl#User:the email has already subscribed message,Subscribe latest news,Stimulus,undefined
42,stl#User:subscribe bar on website,Subscribe latest news,Stimulus,undefined
43,stl#User:error message,Subscribe latest news,Stimulus,undefined
44,User:"Add Case Studies" button,add case studies,control,Casestudydb
45,User:"case study" form,add case studies,control,Casestudydb
46,User:upload fail message,add case studies,control,pdfformatisnotvalidmessage
47,User:Success message,add case studies,control,pdfformatisnotvalidmessage
48,"Add Case Studies" button:Show "Case Study" form,add case studies,control,Casestudydb
49,Show "Case Study" form:"Add Case Studies" button,add case studies,control,Casestudydb
50,upload file:"case study" form,add case studies,control,Casestudydb
51,Create a new record of case study in db:Case study db,add case studies,control,Casestudydb
52,Create a new record of case study in db:Success message,add case studies,control,pdfformatisnotvalidmessage
53,upload file:Create a new record of case study in db,add case studies,control,Casestudydb
54,Show "Case Study" form:upload file,add case studies,boundary,uploadfile
55,upload file:upload fail message,add case studies,boundary,uploadfile
56,stl#User:"Add Case Studies" button,add case studies,Stimulus,undefined
57,stl#User:"case study" form,add case studies,Stimulus,undefined
58,stl#User:upload fail message,add case studies,Stimulus,undefined
59,stl#User:Success message,add case studies,Stimulus,undefined
60,User:failure message,attach file,control,pdfformatisnotvalidmessage
61,User:"select files" box,attach file,control,Confirmbox
62,User:Micro Website management,attach file,boundary,MicroWebsitemanagement
63,User:Uploaded file's link,attach file,boundary,uploadfile
64,User:"upload" button,attach file,boundary,uploadfile
65,"select files" box:Micro Website management,attach file,boundary,MicroWebsitemanagement
66,Display "select files" box:"select files" box,attach file,control,Confirmbox
67,"upload" button:Display "select files" box,attach file,boundary,uploadfile
68,Display "select files" box:"upload" button,attach file,boundary,uploadfile
69,Display "select files" box:check file validity,attach file,boundary,uploadfile
70,Transmit the file:Micro Website management,attach file,boundary,MicroWebsitemanagement
71,Show the uploaded file's link:Uploaded file's link,attach file,boundary,uploadfile
72,Transmit the file:Show the uploaded file's link,attach file,boundary,uploadfile
73,check file validity:Transmit the file,attach file,boundary,uploadfile
74,stl#User:failure message,attach file,Stimulus,undefined
75,stl#User:"select files" box,attach file,Stimulus,undefined
76,stl#User:Micro Website management,attach file,Stimulus,undefined
77,stl#User:Uploaded file's link,attach file,Stimulus,undefined
78,stl#User:"upload" button,attach file,Stimulus,undefined
79,Timer:idle for 30 or more minutes,create marketing director account,boundary,DeleteButton
80,User:Marketing Director Account form,create marketing director account,boundary,ViewMarketDirectorAccountsPage
81,User:"create account" button,create marketing director account,boundary,DeleteButton
82,User:Username exists message,create marketing director account,control,pdfformatisnotvalidmessage
83,User:username exists message,create marketing director account,control,pdfformatisnotvalidmessage
84,User:View Market Director Accounts Page,create marketing director account,boundary,ViewMarketDirectorAccountsPage
85,"create account" button:Redict to an empty marketing director account form,create marketing director account,boundary,ViewMarketDirectorAccountsPage
86,Redict to an empty marketing director account form:"create account" button,create marketing director account,boundary,DeleteButton
87,Add new marketing director account to db:Redirect to View Market director accounts page,create marketing director account,boundary,ViewMarketDirectorAccountsPage
88,check input format and record redundancy:Add new marketing director account to db,create marketing director account,boundary,ViewMarketDirectorAccountsPage
89,check input format and record redundancy:Check input format and record redundancy,create marketing director account,control,addasubscriberrecorderintothedatabase
90,Redirect to View Market director accounts page:Direct Account DB,create marketing director account,boundary,ViewMarketDirectorAccountsPage
91,Marketing Director Account form:check input format and record redundancy,create marketing director account,control,addasubscriberrecorderintothedatabase
92,Redict to an empty marketing director account form:Marketing Director Account form,create marketing director account,boundary,ViewMarketDirectorAccountsPage
93,Redict to an empty marketing director account form:User Info,create marketing director account,control,User
94,idle for 30 or more minutes:Redict to an empty marketing director account form,create marketing director account,boundary,ViewMarketDirectorAccountsPage
