NUM,PROJ,,UEUCW,UEUCW_ALY,UEXUCW,UEXUCW_ALY,UAW,UAW_ALY,TCF,TCF_ALY,EF,EF_ALY,EUCP,EUCP_ALY,EXUCP,EXUCP_ALY,Path_Num,UseCase_Num,Diagram_Num,INT,INT_ALY,DM,DM_ALY,CTRL,CTRL_ALY,EXTIVK,EXTIVK_ALY,EXTCLL,EXTCLL_ALY,TN,TN_ALY,WTN_ALY,WTNDC_ALY
1,f14a_cash_doctor,,undefined,70,undefined,74,9,0,0.9,0,1.025,undefined,undefined,72.8775,undefined,76.5675,34,10,12,19,20,13,13,32,34,0,1,0,0,32,34,238,undefined
2,f14a_gotrla,,undefined,110,undefined,123,9,0,0.835,0,0.995,undefined,undefined,98.868175,undefined,109.6689,61,10,12,27,31,27,29,59,61,5,1,0,0,59,61,515,undefined
3,F14a_sharethetraining_com,,undefined,105,undefined,109,9,0,0.88,0,1.04,undefined,undefined,104.3328,undefined,107.9936,52,13,16,30,31,17,16,54,51,5,4,2,2,54,51,334,undefined
4,F14a_tipsure_com,,undefined,85,undefined,97,6,0,0.915,0,1.025,undefined,undefined,85.34662499999999,undefined,96.601125,55,8,10,24,22,26,30,51,53,1,1,0,0,51,53,556,undefined
5,F14a_women_at_work_website_redesign,,undefined,60,undefined,56,12,0,0.855,0,1.025,undefined,undefined,63.099,undefined,59.5935,30,8,10,13,13,10,11,30,30,6,6,1,0,30,30,198,undefined
6,F15a_combat_conflict,,undefined,50,undefined,47,6,0,0.795,0,0.92,undefined,undefined,40.958400000000005,undefined,38.76420000000001,21,7,7,16,13,10,8,26,21,0,0,0,0,26,21,144,undefined
7,F15a_construction_meeting_minutes_application,,undefined,165,undefined,177,6,0,0.925,0,0.95,undefined,undefined,150.26625,undefined,160.81125,89,18,20,45,44,44,45,89,89,0,0,0,0,89,89,613,undefined
8,F15a_nice_ecommerse,,undefined,160,undefined,147,9,0,0.805,0,1.025,undefined,undefined,139.446125,undefined,128.7195,75,24,26,42,37,31,33,79,75,5,5,1,3,79,75,509,undefined
9,F15a_tour_conductor,,undefined,55,undefined,52,9,0,0.885,0,0.89,undefined,undefined,50.409600000000005,undefined,48.04665,27,8,10,15,14,13,10,29,24,0,0,0,0,29,24,216,undefined
10,s15b_snap_valet,,undefined,135,undefined,187,9,0,0.925,0,0.965,undefined,undefined,128.538,undefined,174.9545,79,11,13,56,55,21,21,82,79,3,3,1,2,82,79,694,undefined
11,S15b_we_are_trojans_network,,undefined,100,undefined,172,9,0,0.935,0,0.935,undefined,undefined,95.29052500000002,undefined,158.23472500000003,80,9,12,34,46,21,34,55,80,0,0,0,0,55,80,846,undefined
12,S16b_flower_seeker,,undefined,95,undefined,102,9,0,0.89,0,1.025,undefined,undefined,94.874,undefined,101.25975,49,16,19,30,29,18,18,51,48,1,1,2,2,51,48,250,undefined
13,F14a_mobile_application_for_mobile_controlled_lighting,,undefined,40,undefined,33,6,0,0.925,0,1.04,undefined,undefined,44.252,undefined,37.51800000000001,19,5,5,0,8,0,9,0,17,0,0,0,0,0,17,118,undefined
14,F14a_REFERsy,,undefined,70,undefined,72,11,0,0.925,0,0.995,undefined,undefined,74.550375,undefined,76.391125,36,10,12,18,22,9,9,32,36,5,5,4,4,32,36,198,undefined
15,s17_tikiman_go,,undefined,55,undefined,22,undefined,0,undefined,0,undefined,undefined,undefined,NaN,undefined,NaN,56,28,33,0,2,0,16,0,18,0,0,0,0,0,18,320,undefined
16,s16_bad_driver,,undefined,55,undefined,26,undefined,0,undefined,0,undefined,undefined,undefined,NaN,undefined,NaN,50,12,12,0,4,0,14,0,18,0,0,0,0,0,18,526,undefined
17,s16b_Picshare_AA,,undefined,130,undefined,111,undefined,0,undefined,0,undefined,undefined,undefined,NaN,undefined,NaN,54,24,24,0,29,0,24,0,53,0,1,0,0,0,53,324,undefined
18,s14b_location_based_ad,,undefined,340,undefined,414,undefined,0,undefined,0,undefined,undefined,undefined,NaN,undefined,NaN,246,47,47,0,119,0,57,0,168,0,2,0,11,0,168,2332,undefined
