NUM,PROJ,Path_Num,UseCase_Num,Diagram_Num,INT,INT_ALY,DM,DM_ALY,CTRL,CTRL_ALY,EXTIVK,EXTIVK_ALY,EXTCLL,EXTCLL_ALY,TN,TN_ALY,UEUCW,UEUCW_ALY,UEXUCW,UEXUCW_ALY,UAW,UAW_ALY,TCF,TCF_ALY,ECF,ECF_ALY,EUCP,EUCP_ALY,EXUCP,EXUCP_ALY,AFP,AFP_ALY,VAF,AFPC,AFPC_ALY,Effort,Effort_ALY,Effort_Norm,Norm_Factor,KSLOC,WTN_ALY,WTNDC_ALY
1,F14a_black_professionals_net,150,26,29,86,95,45,49,143,150,7,6,5,9,143,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,undefined,0,0,146.5,0,155.7134523,1.06289046,9.202,1442,1516
2,f14a_cash_doctor,34,10,12,19,20,13,13,32,34,0,1,0,0,32,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,undefined,0,0,724,0,1146.356595,1.583365463,2.95,238,238
3,f14a_e_lock_box,189,16,18,59,105,39,71,103,189,5,13,0,0,103,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,undefined,0,0,125,0,260.4849137,2.08387931,1.1,2074,2104
4,f14a_gotrla,61,10,12,27,31,27,29,59,61,5,1,0,0,59,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,undefined,0,0,482,0,567.9063205,1.178228881,6.569,515,523
5,F14a_sharethetraining_com,52,13,16,30,31,17,16,54,51,5,4,2,2,54,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,undefined,0,0,571,0,781.7889225,1.369157483,8.116,334,334
6,F14a_tipsure_com,55,8,10,24,22,26,30,51,53,1,1,0,0,51,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,undefined,0,0,268.5,0,475.0498223,1.769273081,2.258,556,556
7,F14a_women_at_work_website_redesign,30,8,10,13,13,10,11,30,30,6,6,1,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,undefined,0,0,140.5,0,415.8336444,2.959670067,3.2,198,206
8,F15a_combat_conflict,21,7,7,16,13,10,8,26,21,0,0,0,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,undefined,0,0,1281,0,1064.700087,0.831147609,7.593,144,144
9,F15a_construction_meeting_minutes_application,89,18,20,45,44,44,45,89,89,0,0,0,0,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,undefined,0,0,1482.5,0,1800.053232,1.214201169,1.386,613,616
10,F15a_nice_ecommerse,75,24,26,42,37,31,33,79,75,5,5,1,3,79,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,undefined,0,0,617,0,598.2157347,0.969555486,5.129,509,513
11,F15a_tour_conductor,27,8,10,15,14,13,10,28,24,0,0,0,0,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,undefined,0,0,1347,0,1259.459597,0.935010837,3.679,216,220
12,s15b_snap_valet,79,11,13,56,55,21,21,81,79,3,3,1,2,81,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,undefined,0,0,302.5,0,618.0960915,2.043292865,0.552,694,702
13,S15b_we_are_trojans_network,80,9,12,34,46,21,34,55,80,0,0,0,0,55,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,undefined,0,0,1965,0,4531.585472,2.306150367,6.415,846,938
14,S16b_flower_seeker,49,16,19,30,29,18,18,51,48,1,1,2,2,51,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,undefined,0,0,804.5,0,541.357253,0.672911439,7.365,250,250
15,F14a_mobile_application_for_mobile_controlled_lighting,19,5,5,9,8,9,9,18,17,0,0,0,0,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,undefined,0,0,257.5,0,239.682121,0.930804353,1.5,118,118
16,F14a_REFERsy,36,10,12,18,22,9,9,36,36,5,5,4,4,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,undefined,0,0,263,0,462.3214249,1.75787614,7.25,198,198
17,F15a_linggo,16,6,12,11,10,5,5,16,15,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,undefined,0,0,1142,0,913.3688334,0.799797577,8.1,100,108
