id,element,type,outboundDegree,inboundDegree,diagram,useCase,model
1,Email Protocol,actor,0,1,login,Login,f14a_cash_doctor
2,send email including credential,control,1,1,login,Login,f14a_cash_doctor
3,Forgotten username or password link,boundary,1,1,login,Login,f14a_cash_doctor
4,redirect to login page,control,1,1,login,Login,f14a_cash_doctor
5,Invalid information error message,boundary,1,2,login,Login,f14a_cash_doctor
6,My account page,boundary,0,2,login,Login,f14a_cash_doctor
7,user info,entity,0,1,login,Login,f14a_cash_doctor
8,verify user information,control,3,1,login,Login,f14a_cash_doctor
9,Login page,boundary,1,2,login,Login,f14a_cash_doctor
10,User,actor,4,0,login,Login,f14a_cash_doctor
11,update feature detail,control,1,2,View Dashboard Page,View Dashboard Page,f14a_cash_doctor
12,feature detail,boundary,1,2,View Dashboard Page,View Dashboard Page,f14a_cash_doctor
13,feature,entity,0,1,View Dashboard Page,View Dashboard Page,f14a_cash_doctor
14,redirect to feature page,control,2,1,View Dashboard Page,View Dashboard Page,f14a_cash_doctor
15,Feature List,boundary,1,1,View Dashboard Page,View Dashboard Page,f14a_cash_doctor
16,User,actor,4,0,View Dashboard Page,View Dashboard Page,f14a_cash_doctor
17,save udpated profile,control,1,1,Edit Consumer Profile,Edit Consumer Profile,f14a_cash_doctor
18,Error message for update failure,boundary,0,2,Edit Consumer Profile,Edit Consumer Profile,f14a_cash_doctor
19,profile,entity,0,1,Edit Consumer Profile,Edit Consumer Profile,f14a_cash_doctor
20,verify input message,control,2,1,Edit Consumer Profile,Edit Consumer Profile,f14a_cash_doctor
21,User profile page,boundary,1,1,Edit Consumer Profile,Edit Consumer Profile,f14a_cash_doctor
22,User,actor,2,0,Edit Consumer Profile,Edit Consumer Profile,f14a_cash_doctor
23,save input price information,control,1,1,Share Prices,Share Prices,f14a_cash_doctor
24,input information invalid error message,boundary,0,2,Share Prices,Share Prices,f14a_cash_doctor
25,verify input price information,control,2,1,Share Prices,Share Prices,f14a_cash_doctor
26,price detail input page,boundary,1,2,Share Prices,Share Prices,f14a_cash_doctor
27,profile,entity,0,1,Share Prices,Share Prices,f14a_cash_doctor
28,diplay price input page,control,1,1,Share Prices,Share Prices,f14a_cash_doctor
29,Share price button,boundary,1,1,Share Prices,Share Prices,f14a_cash_doctor
30,User,actor,3,0,Share Prices,Share Prices,f14a_cash_doctor
31,update the recognized information into database.,control,1,1,Share Price through OCR capture,Share Price through OCR capture,f14a_cash_doctor
32,unable to recoginize information from photo,boundary,0,2,Share Price through OCR capture,Share Price through OCR capture,f14a_cash_doctor
33,OCR read the medical information,control,2,1,Share Price through OCR capture,Share Price through OCR capture,f14a_cash_doctor
34,photo list,boundary,1,2,Share Price through OCR capture,Share Price through OCR capture,f14a_cash_doctor
35,Price,entity,0,1,Share Price through OCR capture,Share Price through OCR capture,f14a_cash_doctor
36,load photo from library,control,1,1,Share Price through OCR capture,Share Price through OCR capture,f14a_cash_doctor
37,Share price through picture capture button,boundary,1,1,Share Price through OCR capture,Share Price through OCR capture,f14a_cash_doctor
38,User,actor,3,0,Share Price through OCR capture,Share Price through OCR capture,f14a_cash_doctor
39,non matched doctor,boundary,0,3,Search Provider,Search Provider,f14a_cash_doctor
40,Invalid input message,boundary,1,2,Search Provider,Search Provider,f14a_cash_doctor
41,Doctor,entity,0,2,Search Provider,Search Provider,f14a_cash_doctor
42,retrieve matched doctors from db,control,3,1,Search Provider,Search Provider,f14a_cash_doctor
43,Search crieteria input page,boundary,1,1,Search Provider,Search Provider,f14a_cash_doctor
44,User,actor,3,0,Search Provider,Search Provider,f14a_cash_doctor
45,Redirect to search page,control,1,1,Follow/unfollow a provider,Follow/unfollow a provider,f14a_cash_doctor
46,Subscription,entity,0,1,Follow/unfollow a provider,Follow/unfollow a provider,f14a_cash_doctor
47,Update subscription information,control,1,1,Follow/unfollow a provider,Follow/unfollow a provider,f14a_cash_doctor
48,Popup confirm diagram,control,2,1,Follow/unfollow a provider,Follow/unfollow a provider,f14a_cash_doctor
49,Confirm dialog,boundary,1,2,Follow/unfollow a provider,Follow/unfollow a provider,f14a_cash_doctor
50,follow/unfollow button,boundary,1,2,Follow/unfollow a provider,Follow/unfollow a provider,f14a_cash_doctor
51,Provider,entity,0,1,Follow/unfollow a provider,Follow/unfollow a provider,f14a_cash_doctor
52,Display all provider based on criteria,control,2,1,Follow/unfollow a provider,Follow/unfollow a provider,f14a_cash_doctor
53,Search provide page,boundary,1,2,Follow/unfollow a provider,Follow/unfollow a provider,f14a_cash_doctor
54,User,actor,3,0,Follow/unfollow a provider,Follow/unfollow a provider,f14a_cash_doctor
55,Rating,entity,0,1,Rate a provider,Rate a provider,f14a_cash_doctor
56,Update provider rating information,control,1,1,Rate a provider,Rate a provider,f14a_cash_doctor
57,Display rating input page,control,2,1,Rate a provider,Rate a provider,f14a_cash_doctor
58,Rating input page,boundary,1,2,Rate a provider,Rate a provider,f14a_cash_doctor
59,rate button,boundary,1,2,Rate a provider,Rate a provider,f14a_cash_doctor
60,Provider,entity,0,1,Rate a provider,Rate a provider,f14a_cash_doctor
61,Display all provider based on criteria,control,2,1,Rate a provider,Rate a provider,f14a_cash_doctor
62,Search provider page,boundary,1,2,Rate a provider,Rate a provider,f14a_cash_doctor
63,User,actor,3,0,Rate a provider,Rate a provider,f14a_cash_doctor
64,create a new provider,control,2,1,Add New Provider,Add New Provider,f14a_cash_doctor
65,Provider created success message,boundary,1,2,Add New Provider,Add New Provider,f14a_cash_doctor
66,provider information input page,boundary,1,2,Add New Provider,Add New Provider,f14a_cash_doctor
67,Provider,entity,0,1,Add New Provider,Add New Provider,f14a_cash_doctor
68,Display provider add page,control,1,1,Add New Provider,Add New Provider,f14a_cash_doctor
69,Add provider button,boundary,1,1,Add New Provider,Add New Provider,f14a_cash_doctor
70,User,actor,3,0,Add New Provider,Add New Provider,f14a_cash_doctor
71,update status of requests,control,2,1,Maintain the system,Maintain the system,f14a_cash_doctor
72,request status is successfully updated.,boundary,0,2,Maintain the system,Maintain the system,f14a_cash_doctor
73,request list,boundary,1,2,Maintain the system,Maintain the system,f14a_cash_doctor
74,Request,entity,0,2,Maintain the system,Maintain the system,f14a_cash_doctor
75,load requests,control,2,1,Maintain the system,Maintain the system,f14a_cash_doctor
76,check requests button,boundary,1,1,Maintain the system,Maintain the system,f14a_cash_doctor
77,User,actor,3,0,Maintain the system,Maintain the system,f14a_cash_doctor
78,session,entity,0,1,Login/Logout,Login/Logout,f14a_gotrla
79,Remove session,control,1,1,Login/Logout,Login/Logout,f14a_gotrla
80,Logout Button,boundary,1,1,Login/Logout,Login/Logout,f14a_gotrla
81,Log failture message,boundary,0,2,Login/Logout,Login/Logout,f14a_gotrla
82,Login success message,boundary,0,2,Login/Logout,Login/Logout,f14a_gotrla
83,Login Info,entity,0,1,Login/Logout,Login/Logout,f14a_gotrla
84,check login information,control,3,1,Login/Logout,Login/Logout,f14a_gotrla
85,Login Page,boundary,1,1,Login/Logout,Login/Logout,f14a_gotrla
86,User,actor,4,0,Login/Logout,Login/Logout,f14a_gotrla
87,reset password,control,2,1,Forgets password,Forgets password,f14a_gotrla
88,Email Protocol,actor,0,1,Forgets password,Forgets password,f14a_gotrla
89,send reset link by email,control,1,1,Forgets password,Forgets password,f14a_gotrla
90,password reset success message,boundary,0,2,Forgets password,Forgets password,f14a_gotrla
91,forgot password page,boundary,2,2,Forgets password,Forgets password,f14a_gotrla
92,Login Info,entity,0,1,Forgets password,Forgets password,f14a_gotrla
93,display forgot password page,control,1,1,Forgets password,Forgets password,f14a_gotrla
94,forget password button,boundary,1,1,Forgets password,Forgets password,f14a_gotrla
95,User,actor,4,0,Forgets password,Forgets password,f14a_gotrla
96,save user information,control,2,1,Add users,Add users,f14a_gotrla
97,save user information success message,boundary,0,2,Add users,Add users,f14a_gotrla
98,User add page,boundary,2,2,Add users,Add users,f14a_gotrla
99,User info,entity,0,1,Add users,Add users,f14a_gotrla
100,display user add page,control,1,1,Add users,Add users,f14a_gotrla
101,User add button,boundary,1,1,Add users,Add users,f14a_gotrla
102,User,actor,3,0,Add users,Add users,f14a_gotrla
103,Delete user info,control,2,1,Delete users,Delete users,f14a_gotrla
104,Delete user info success,boundary,0,2,Delete users,Delete users,f14a_gotrla
105,User info page,boundary,1,2,Delete users,Delete users,f14a_gotrla
106,User info,entity,0,2,Delete users,Delete users,f14a_gotrla
107,query user info,control,2,1,Delete users,Delete users,f14a_gotrla
108,User List,boundary,1,1,Delete users,Delete users,f14a_gotrla
109,User,actor,3,0,Delete users,Delete users,f14a_gotrla
110,Invalid input user information,boundary,0,2,Modify user information,Modify user information,f14a_gotrla
111,Save modified user info,control,3,1,Modify user information,Modify user information,f14a_gotrla
112,Save user info success message,boundary,0,2,Modify user information,Modify user information,f14a_gotrla
113,User info page,boundary,1,2,Modify user information,Modify user information,f14a_gotrla
114,User info,entity,0,2,Modify user information,Modify user information,f14a_gotrla
115,query user info,control,2,1,Modify user information,Modify user information,f14a_gotrla
116,Modify User Info,boundary,1,1,Modify user information,Modify user information,f14a_gotrla
117,User,actor,4,0,Modify user information,Modify user information,f14a_gotrla
118,Required information missing error message,boundary,0,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
119,Invalid modified information,boundary,0,2,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
120,Delete girls/volunteers/teams,control,4,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
121,Save modified information,control,4,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
122,Volunteers,entity,0,3,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
123,Teams,entity,0,3,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
124,query volunteers info,control,2,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
125,query teams info,control,2,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
126,Delete information successfully,boundary,0,2,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
127,process input information for girs/teams/volunteers,control,3,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
128,Save modified information success message,boundary,0,2,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
129,Girls/Teams/Volunteers manage page,boundary,2,2,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
130,Girl,entity,0,3,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
131,query girl info,control,2,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
132,manage girls/teams/volunteers page,boundary,1,1,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
133,User,actor,5,0,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
134,Save teams data,control,2,1,Import data from csv,Import data from csv,f14a_gotrla
135,Save Volunteers data,control,2,1,Import data from csv,Import data from csv,f14a_gotrla
136,Save girls data,control,2,1,Import data from csv,Import data from csv,f14a_gotrla
137,Invalid input user information,boundary,0,4,Import data from csv,Import data from csv,f14a_gotrla
138,Process data,control,4,1,Import data from csv,Import data from csv,f14a_gotrla
139,Data format error message,boundary,0,2,Import data from csv,Import data from csv,f14a_gotrla
140,Data import page,boundary,1,2,Import data from csv,Import data from csv,f14a_gotrla
141,User info,entity,0,3,Import data from csv,Import data from csv,f14a_gotrla
142,Display data import page,control,1,1,Import data from csv,Import data from csv,f14a_gotrla
143,Date import button,boundary,1,1,Import data from csv,Import data from csv,f14a_gotrla
144,User,actor,4,0,Import data from csv,Import data from csv,f14a_gotrla
145,Select file location to save,control,2,1,Export attendance,Export attendance,f14a_gotrla
146,csv files,entity,0,1,Export attendance,Export attendance,f14a_gotrla
147,export data to csv file,control,1,1,Export attendance,Export attendance,f14a_gotrla
