id,path,functional,transactional,path_length,avg_degree,arch_diff,diagram,use_case,model
194,User->comment section button->display comment section->query business information->comment panel,EQ,CTRL|INT,5,1,5,User comments and moderation,User comments and moderation,F14a_tipsure_com
195,User->comment section button->display comment section->query business information->business information,EI,CTRL|DM|EI,5,0.8,4,User comments and moderation,User comments and moderation,F14a_tipsure_com
196,User->comment panel->save comment to db->comment,EI,CTRL|DM|EI,4,2,8,User comments and moderation,User comments and moderation,F14a_tipsure_com
197,Admin->comment detail->save approval status of comment->comment,EI,CTRL|DM|EI,4,2,8,User comments and moderation,User comments and moderation,F14a_tipsure_com
198,Admin->comment detail->save approval status of comment->remove comment->comment,EI,CTRL|DM|EI,5,1.8,9,User comments and moderation,User comments and moderation,F14a_tipsure_com
199,Admin->load comment button->load comments->comment list,EQ,CTRL|INT,4,1,4,User comments and moderation,User comments and moderation,F14a_tipsure_com
200,Admin->load comment button->load comments->comment,EI,CTRL|DM|EI,4,1.75,7,User comments and moderation,User comments and moderation,F14a_tipsure_com
201,Admin->comment list->display comment detail->comment,EI,CTRL|DM|EI,4,2,8,User comments and moderation,User comments and moderation,F14a_tipsure_com
202,Admin->comment list->display comment detail->comment detail,EQ,CTRL|INT,4,1.25,5,User comments and moderation,User comments and moderation,F14a_tipsure_com
203,User->Register Online Button->redirect to registration page->Registration Page,EQ,CTRL|INT,4,1,4,Online registration,Online registration,F14a_women_at_work_website_redesign
204,User->Registration Page->Rest cal for inserting registration data->Validate registration information->Neon CRM,FUNC_NA,CTRL|EXTIVK,5,1,5,Online registration,Online registration,F14a_women_at_work_website_redesign
205,User->Registration Page->Rest cal for inserting registration data->Validate registration information->Display an invalid error message->Invalid error message,EQ,CTRL|INT,6,1.1666666666666667,7,Online registration,Online registration,F14a_women_at_work_website_redesign
206,User->Feedback form->Rest cal for inserting feedback->Validate feedback data->Neon CRM,FUNC_NA,CTRL|EXTIVK,5,1,5,Online Feedback Process,Online Feedback Process,F14a_women_at_work_website_redesign
207,User->Feedback form->Rest cal for inserting feedback->Validate feedback data->Display an invalid feedback error message->Invalid error message,EQ,CTRL|INT,6,1.1666666666666667,7,Online Feedback Process,Online Feedback Process,F14a_women_at_work_website_redesign
208,User->Feedback page->display feedback form->Feedback form,EQ,CTRL|INT,4,1,4,Online Feedback Process,Online Feedback Process,F14a_women_at_work_website_redesign
209,User->checkin page->Rest cal for validating checkin information->Neon CRM,FUNC_NA,CTRL|EXTIVK,4,1.25,5,Onsite user checkin,Onsite user checkin,F14a_women_at_work_website_redesign
210,User->Invalid checkin information->save checkin information->Checkin information,EI,CTRL|DM|EI,4,1.25,5,Onsite user checkin,Onsite user checkin,F14a_women_at_work_website_redesign
211,User->Checkin button->display checkin page->checkin page,EQ,CTRL|INT,4,1,4,Onsite user checkin,Onsite user checkin,F14a_women_at_work_website_redesign
212,Neon CRM->Invalid checkin information->save checkin information->Checkin information,EI,CTRL|DM|EI,4,1.75,7,Onsite user checkin,Onsite user checkin,F14a_women_at_work_website_redesign
213,User->document upload button->validate login information->document upload page,EQ,CTRL|INT,4,1,4,Secure Document Management,Secure Document Management,F14a_women_at_work_website_redesign
214,User->document upload button->validate login information->login,EI,CTRL|DM|EI,4,0.75,3,Secure Document Management,Secure Document Management,F14a_women_at_work_website_redesign
215,User->document upload page->store the document->document,EI,CTRL|DM|EI,4,1,4,Secure Document Management,Secure Document Management,F14a_women_at_work_website_redesign
216,User->document upload page->store the document->Display an invalid store error message->Invalid store error message,EQ,CTRL|INT,5,1.4,7,Secure Document Management,Secure Document Management,F14a_women_at_work_website_redesign
217,User->document view button->validate login information->load documents->document,EI,CTRL|DM|EI,5,1,5,Secure File Management View Process,Secure File Management View Process,F14a_women_at_work_website_redesign
218,User->document view button->validate login information->load documents->document view page,EQ,CTRL|INT,5,1,5,Secure File Management View Process,Secure File Management View Process,F14a_women_at_work_website_redesign
219,User->document view button->validate login information->login,EI,CTRL|DM|EI,4,0.75,3,Secure File Management View Process,Secure File Management View Process,F14a_women_at_work_website_redesign
220,User->document view page->query document->document,EI,CTRL|DM|EI,4,1.25,5,Secure File Management View Process,Secure File Management View Process,F14a_women_at_work_website_redesign
221,User->document view page->query document->Display error message->viewing document error message,EQ,CTRL|INT,5,1.2,6,Secure File Management View Process,Secure File Management View Process,F14a_women_at_work_website_redesign
222,User->document view page->query document->document detail page,EQ,CTRL|INT,4,1.25,5,Secure File Management View Process,Secure File Management View Process,F14a_women_at_work_website_redesign
223,User->report generation button->query report->report list,EQ,CTRL|INT,4,1,4,Report generation,Report generation,F14a_women_at_work_website_redesign
224,User->report generation button->query report->report,EI,CTRL|DM|EI,4,0.75,3,Report generation,Report generation,F14a_women_at_work_website_redesign
225,User->report list->dump report to Excel->Excel,EI,CTRL|DM|EI,4,1,4,Report generation,Report generation,F14a_women_at_work_website_redesign
226,User->Article list->query article info->article,EI,CTRL|DM|EI,4,0.75,3,Sharing articles to social media,Sharing articles to social media,F14a_women_at_work_website_redesign
227,User->Article list->query article info->article info,EQ,CTRL|INT,4,1,4,Sharing articles to social media,Sharing articles to social media,F14a_women_at_work_website_redesign
228,User->article info->share to social network->Twitter,FUNC_NA,CTRL|EXTIVK,4,1,4,Sharing articles to social media,Sharing articles to social media,F14a_women_at_work_website_redesign
229,User->article info->share to social network->Facebook,FUNC_NA,CTRL|EXTIVK,4,1,4,Sharing articles to social media,Sharing articles to social media,F14a_women_at_work_website_redesign
