id,path,functional,transactional,path_length,avg_degree,arch_diff,diagram,use_case,model
62,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Save modified information->Girl,EI,CTRL|DM|EI,5,1.4,7,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
63,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Save modified information->Save modified information success message,EQ,CTRL|INT,5,1.2,6,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
64,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Required information missing error message,EQ,CTRL|INT,4,1,4,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
65,User->Girls/Teams/Volunteers manage page->Delete girls/volunteers/teams->Delete information successfully,EQ,CTRL|INT,4,1.25,5,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
66,User->Girls/Teams/Volunteers manage page->Delete girls/volunteers/teams->Volunteers,EI,CTRL|DM|EI,4,1.5,6,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
67,User->Girls/Teams/Volunteers manage page->Delete girls/volunteers/teams->Girl,EI,CTRL|DM|EI,4,1.5,6,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
68,User->Girls/Teams/Volunteers manage page->Delete girls/volunteers/teams->Teams,EI,CTRL|DM|EI,4,1.5,6,Manage teams/volunteers/girls,Manage teams/volunteers/girls,f14a_gotrla
69,User->Data import page->Process data->Data format error message,EQ,CTRL|INT,4,1.25,5,Import data from csv,Import data from csv,f14a_gotrla
70,User->Data import page->Process data->Save girls data->Invalid input user information,EQ,CTRL|INT,5,1.6,8,Import data from csv,Import data from csv,f14a_gotrla
71,User->Data import page->Process data->Save girls data->User info,EI,CTRL|DM|EI,5,1.4,7,Import data from csv,Import data from csv,f14a_gotrla
72,User->Data import page->Process data->Save Volunteers data->User info,EI,CTRL|DM|EI,5,1.4,7,Import data from csv,Import data from csv,f14a_gotrla
73,User->Data import page->Process data->Save Volunteers data->Invalid input user information,EQ,CTRL|INT,5,1.6,8,Import data from csv,Import data from csv,f14a_gotrla
74,User->Data import page->Process data->Save teams data->User info,EI,CTRL|DM|EI,5,1.4,7,Import data from csv,Import data from csv,f14a_gotrla
75,User->Data import page->Process data->Save teams data->Invalid input user information,EQ,CTRL|INT,5,1.6,8,Import data from csv,Import data from csv,f14a_gotrla
76,User->Date import button->Display data import page->Data import page,EQ,CTRL|INT,4,1,4,Import data from csv,Import data from csv,f14a_gotrla
77,Admin->Select attendance button->Display attendance page->attendance,EI,CTRL|DM|EI,4,1,4,Export attendance,Export attendance,f14a_gotrla
78,Admin->Select attendance button->Display attendance page->Attendance page,EQ,CTRL|INT,4,1.25,5,Export attendance,Export attendance,f14a_gotrla
79,Admin->Attendance page->display type of attendance for export->attendance,EI,CTRL|DM|EI,4,1.5,6,Export attendance,Export attendance,f14a_gotrla
80,Admin->Attendance page->display type of attendance for export->Types of attendance,EQ,CTRL|INT,4,1.75,7,Export attendance,Export attendance,f14a_gotrla
81,Admin->Types of attendance->export data to csv file->Select file location to save->csv files,EI,CTRL|DM|EI,5,1.2,6,Export attendance,Export attendance,f14a_gotrla
82,Admin->Types of attendance->export data to csv file->Select file location to save->Data export success message,EQ,CTRL|INT,5,1.6,8,Export attendance,Export attendance,f14a_gotrla
83,Staff->Attendance page->display type of attendance for export->attendance,EI,CTRL|DM|EI,4,1.5,6,Export attendance,Export attendance,f14a_gotrla
84,Staff->Attendance page->display type of attendance for export->Types of attendance,EQ,CTRL|INT,4,1.75,7,Export attendance,Export attendance,f14a_gotrla
85,Staff->Types of attendance->export data to csv file->Select file location to save->csv files,EI,CTRL|DM|EI,5,1.2,6,Export attendance,Export attendance,f14a_gotrla
86,Staff->Types of attendance->export data to csv file->Select file location to save->Data export success message,EQ,CTRL|INT,5,1.6,8,Export attendance,Export attendance,f14a_gotrla
87,User->Attendance information page->query attendance detail information->Attendance information,EI,CTRL|DM|EI,4,1.25,5,Monitor attendance,Monitor attendance,f14a_gotrla
88,User->Attendance information page->query attendance detail information->Attendance detail information,EQ,CTRL|INT,4,1.25,5,Monitor attendance,Monitor attendance,f14a_gotrla
89,User->View girls/volunteers attendance button->query attendance information->Attendance information,EI,CTRL|DM|EI,4,1,4,Monitor attendance,Monitor attendance,f14a_gotrla
