   NUM    variable    value
1    1      Effort  724.000
2    2      Effort  482.000
3    3      Effort  571.000
4    4      Effort  266.000
5    5      Effort  140.500
6    6      Effort 1281.000
7    7      Effort 1482.500
8    8      Effort  617.000
9    9      Effort 1347.000
10  10      Effort  302.500
11  11      Effort 1965.000
12  12      Effort  804.500
13  13      Effort  257.500
14  14      Effort  263.000
15  15      Effort  737.000
16  16      Effort 1392.000
17  17      Effort 1592.000
18  18      Effort 3680.000
19  19      Effort  268.500
20   1       KSLOC    2.950
21   2       KSLOC    6.569
22   3       KSLOC    8.116
23   4       KSLOC    0.730
24   5       KSLOC    3.200
25   6       KSLOC    7.593
26   7       KSLOC    1.386
27   8       KSLOC    5.129
28   9       KSLOC    3.679
29  10       KSLOC    0.552
30  11       KSLOC    6.415
31  12       KSLOC    7.365
32  13       KSLOC    1.500
33  14       KSLOC    7.250
34  15       KSLOC    3.120
35  16       KSLOC    4.710
36  17       KSLOC    8.209
37  18       KSLOC   21.344
38  19       KSLOC    2.258
39   1 UseCase_Num   10.000
40   2 UseCase_Num   10.000
41   3 UseCase_Num   13.000
42   4 UseCase_Num    8.000
43   5 UseCase_Num    8.000
44   6 UseCase_Num    7.000
45   7 UseCase_Num   18.000
46   8 UseCase_Num   24.000
47   9 UseCase_Num    8.000
48  10 UseCase_Num   11.000
49  11 UseCase_Num    9.000
50  12 UseCase_Num   16.000
51  13 UseCase_Num    5.000
52  14 UseCase_Num   10.000
53  15 UseCase_Num   28.000
54  16 UseCase_Num   12.000
55  17 UseCase_Num   24.000
56  18 UseCase_Num   47.000
57  19 UseCase_Num    8.000
    NUM        variable    value
1     1       UEUCW_ALY  150.000
2     2       UEUCW_ALY  150.000
3     3       UEUCW_ALY  195.000
4     4       UEUCW_ALY  120.000
5     5       UEUCW_ALY  120.000
6     6       UEUCW_ALY  105.000
7     7       UEUCW_ALY  270.000
8     8       UEUCW_ALY  360.000
9     9       UEUCW_ALY  120.000
10   10       UEUCW_ALY  165.000
11   11       UEUCW_ALY  135.000
12   12       UEUCW_ALY  240.000
13   13       UEUCW_ALY   75.000
14   14       UEUCW_ALY  150.000
15   15       UEUCW_ALY  420.000
16   16       UEUCW_ALY  180.000
17   17       UEUCW_ALY  360.000
18   18       UEUCW_ALY  705.000
19   19       UEUCW_ALY  120.000
20    1      UEXUCW_ALY   74.000
21    2      UEXUCW_ALY  123.000
22    3      UEXUCW_ALY  109.000
23    4      UEXUCW_ALY   97.000
24    5      UEXUCW_ALY   56.000
25    6      UEXUCW_ALY   47.000
26    7      UEXUCW_ALY  177.000
27    8      UEXUCW_ALY  147.000
28    9      UEXUCW_ALY   52.000
29   10      UEXUCW_ALY  187.000
