id,useCase,average_degree,average_path_length,architecture_difficulty,path_number
1,Login,1.2,4,4.8,5
2,View Dashboard Page,1.1666666666666667,4,4.666666666666667,2
3,Edit Consumer Profile,1,4.5,4.5,2
4,Share Prices,1.125,4.333333333333333,4.875,3
5,Share Price through OCR capture,1.125,4.333333333333333,4.875,3
6,Search Provider,1.5,4,6,3
7,Follow/unfollow a provider,1.2,4.2,5.04,5
8,Rate a provider,1.2222222222222223,4,4.888888888888889,4
9,Add New Provider,1.1428571428571428,4,4.571428571428571,3
10,Maintain the system,1.2857142857142858,4,5.142857142857143,4
11,Login/Logout,1.1111111111111112,4,4.444444444444445,4
12,Forgets password,1.1111111111111112,4,4.444444444444445,4
13,Add users,1.1428571428571428,4,4.571428571428571,3
14,Delete users,1.2857142857142858,4,5.142857142857143,4
15,Modify user information,1.375,4,5.5,5
16,Manage teams/volunteers/girls,1.5625,4.642857142857143,7.2544642857142865,14
17,Import data from csv,1.5454545454545454,4.75,7.340909090909091,8
18,Export attendance,1.4166666666666667,4.4,6.233333333333334,10
19,Monitor attendance,1.2857142857142858,4,5.142857142857143,4
20,Record attendance,1.2,4.4,5.28,5
21,Add course,1.125,4.333333333333333,4.875,3
22,Delete course,1.1111111111111112,4.5,5,4
23,Modify course,1.375,4.333333333333333,5.958333333333333,3
24,Verify new course,1.2,4.2,5.04,5
25,Request new course,1.1428571428571428,4,4.571428571428571,3
26,Update schedule,1.3,4.2,5.460000000000001,5
27,Login,1.2,4.4,5.28,5
28,Logout,1,4,4,2
29,Setup account,1.1428571428571428,4.666666666666667,5.333333333333333,3
30,Share course,1.1818181818181819,4,4.7272727272727275,5
31,Search course,1.5,4,6,4
32,Register course,1.2307692307692308,3.6666666666666665,4.512820512820513,6
33,Review course,1.3333333333333333,4,5.333333333333333,4
34,Search Business,1.4,4,5.6,6
35,Add a new business,1.3846153846153846,4,5.538461538461538,7
36,Business Owner Registration,1.3846153846153846,4,5.538461538461538,7
37,Business Claim,1.3571428571428572,4.125,5.598214285714286,8
38,Travel Tipping Guides,1,4.333333333333333,4.333333333333333,3
39,Use Tip Calculator,1,4,4,1
40,Submit questions and responses,1.2777777777777777,4.285714285714286,5.476190476190475,14
41,User comments and moderation,1.3125,4.333333333333333,5.6875,9
42,Online registration,1.1111111111111112,5,5.555555555555555,3
43,Online Feedback Process,1.1111111111111112,5,5.555555555555555,3
44,Onsite user checkin,1.3333333333333333,4,5.333333333333333,4
