Team. NO.,Semester,PROJ,Effort,ESLOC,RSLOC,DSLOC,KSLOC,PREC,FLEX,RESL,TEAM,PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,E1,E2,E3,E4,E5,E6,E7,E8,TCF,EF,UAW,URL
1,fall2015/spring2016,s16b_Picshare_RA,3113,8271,8059,8059,8.059,L,H,H,VH,N,N,H,N,L,N,N,N,L,H,H,VH,N,N,N,N,N,N,3,2,3,4,1,2,4,2,2,3,3,1,2,2,3,4,3,4,4,4,1,0.94,0.89,8,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2015\projects\team01\team01b\Development\RCP
2,fall2015/spring2016,s16b_Picshare_AA,1592,8561,8209,8209,8.209,L,H,H,VH,N,N,H,N,L,N,N,N,L,H,H,VH,N,N,N,N,N,N,3,2,3,4,1,2,4,2,2,3,3,1,2,2,3,4,4,4,4,4,1,0.94,0.875,6,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2015\projects\team02\team02b\new\Final Deliverables
3,fall2015,F15a_linggo,1142,10663,8100,8100,8.1,L,N,N,H,N,H,L,H,H,H,N,N,L,N,N,L,N,N,N,N,H,N,2,1,3,3,2,2,5,1,3,2,1,1,1,2,4,4,4,4,4,4,1,0.865,0.86,6,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2015\projects\team03\team03a\FinalDeliveries
4,fall2015,F15a_combat_conflict,1281,7593,N/A,7593,7.593,H,H,N,H,N,N,L,L,H,N,N,N,N,N,N,H,L,L,VL,H,H,VL,1,1,1,1,1,2,3,2,3,1,1,0,2,2,3,4,3,3,4,4,1,0.795,0.92,6,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2015\projects\team04\team04a\team04a\Artifacts\Development
5,fall2015,F15a_tour_conductor,1347,3679,3257,3679,3.679,H,H,L,H,L,N,N,N,VH,L,N,N,L,H,H,VH,L,L,N,VH,EXH,N,2,2,3,3,1,2,3,2,2,3,1,1,2,2,3,4,3,4,4,4,1,0.885,0.89,9,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2015\projects\team05\team05a\Development
6,fall2015,F15a_construction_meeting_minutes_application,1482.5,1386,1045,1386,1.386,N,N,H,N,N,N,L,N,N,N,N,N,L,N,H,H,N,N,H,N,H,N,3,2,3,2,1,3,4,2,2,3,3,1,2,2,3,4,3,3,4,4,2,0.925,0.95,6,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2015\projects\team06\team06a\team06a\DCR-ARB-Team06-Package\DCR-ARB-Team06-Package
7,fall2015,F15a_nice_ecommerse,617,5129,N/A,5129,5.129,L,L,L,L,N,L,N,N,N,N,N,N,N,N,N,N,L,N,L,L,N,N,1,1,2,2,1,2,3,1,2,1,2,1,2,2,2,4,3,2,3,4,1,0.805,1.025,9,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2015\projects\team06\team06a\team06a\DCR-ARB-Team06-Package\DCR-ARB-Team06-Package
2,fall2014,F14a_tipsure_com,268.5,2258,2000,2258,2.258,L,H,N,H,N,VH,H,H,H,N,N,N,L,H,N,VH,L,L,N,L,H,N,3,2,3,3,1,2,3,2,2,3,2,1,2,2,2,4,3,3,3,4,2,0.915,1.025,6,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team02\team02a\team02a\FINAL DELIVERABLE\FINAL DELIVERABLE
5,fall2014,F14a_snapp_voice_communication_system,103,2218,2000,2218,2.218,N,N,H,H,N,N,L,N,N,N,N,N,L,N,H,H,L,N,VL,N,H,N,4,3,2,3,2,1,2,2,3,2,1,3,3,2,1,3,2,4,3,3,2,0.955,1.025,12,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team05\team05a\team05a\dcr
6,fall2014,F14a_black_professionals_net,146.5,9202,N/A,9202,9.202,H,H,H,VH,N,H,H,N,L,N,N,H,L,H,L,L,H,L,L,N,VH,N,2,3,2,2,1,2,4,3,2,2,1,2,2,2,2,3,4,3,2,2,1,0.9,1.01,6,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team06\team06a\team06\Foundations
8,fall2014,f14a_e_lock_box,125,7272,6400 (Reused) - 1100 (New),1100,1.1,N,H,N,N,H,H,N,N,H,N,N,N,L,N,N,VH,L,N,L,N,H,N,2,1,3,2,1,2,4,1,4,2,4,3,4,2,3,4,3,4,5,3,1,0.93,0.8,12,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team08\team08a\team08a
9,fall2014,F14a_women_at_work_website_redesign,266,8779,730,730,0.73,H,L,N,N,N,L,L,L,L,N,N,N,L,N,N,VH,H,N,H,L,VH,N,2,1,3,2,1,2,3,1,2,2,2,1,3,2,3,4,2,3,2,3,1,0.855,1.025,9,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team09\team09a\Development
11,fall2014,F14a_sharethetraining_com,571,9980,8116,8116,8.116,H,H,N,H,N,N,L,L,N,N,N,H,N,N,L,VH,L,N,N,N,H,N,2,1,3,2,2,2,4,2,3,1,2,1,2,2,2,3,4,3,2,3,1,0.88,1.04,9,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team11\team11a\team11a\DCP
13,fall2014,F14a_mobile_application_for_mobile_controlled_lighting,257.5,N/A,1500,1500,1.5,N,N,L,H,N,N,L,L,L,L,N,N,L,VH,VH,VL,H,N,H,H,VH,N,3,4,1,1,3,3,4,1,2,1,1,3,5,2,1,3,3,4,3,4,2,0.925,1.04,6,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team13\team13a\Development
14,fall2014,F14a_women_at_work_website_redesign,140.5,N/A,3200,3200,3.2,L,H,H,H,L,N,L,N,L,N,N,H,L,H,H,VH,N,N,N,H,EXH,N,2,1,3,2,1,2,3,1,2,2,2,1,3,2,3,4,2,3,2,3,1,0.855,1.025,12,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team14\team14a\Team14\Final Deliverables (FD)\System and Software Architecture Description
15,fall2014,f14a_gotrla,482,6569,3200,6569,6.569,N,N,N,H,N,N,L,N,L,N,N,H,L,N,N,VL,N,N,N,N,VH,N,1,1,2,2,2,3,4,1,4,1,1,1,2,2,1,3,4,3,3,2,2,0.835,0.995,9,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team15\team15a\team15a\DP
1,fall2014/spring2015,S15b_we_are_trojans_network,1965,7067,6415,6415,6.415,H,H,N,H,N,N,L,N,N,N,N,N,N,H,H,VH,N,N,H,N,H,N,2,2,3,3,2,2,3,2,2,3,2,4,2,2,2,4,3,4,2,1,1,0.935,0.935,9,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team01\team01b\Development
7,fall2014/spring2015,S15b_mission_science_irobots,759,12651,12263,12263,12.263,N,VH,N,H,N,N,L,N,L,N,H,N,L,N,H,H,H,H,N,H,VH,N,1,1,3,3,2,2,3,1,3,1,1,3,3,2,1,3,2,2,2,3,3,0.865,1.175,6,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team07\team07b\team07\Development
4,fall2014/spring2015,S16b_flower_seeker,804.5,7365,8720,7365,7.365,L,N,L,VH,N,H,H,N,L,N,N,N,N,N,L,VH,L,VL,L,N,H,N,2,2,3,2,1,2,2,2,3,2,1,3,2,2,2,4,3,3,2,3,1,0.89,1.025,9,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team04\team04b\team04b\Final Deliverables-S15b
10,fall2014/spring2015,F14a_REFERsy,263,7250,312288,7250,7.25,H,VH,H,VH,N,N,VH,N,L,L,EXH,N,H,H,VH,H,H,L,VH,VH,VH,N,2,3,3,3,2,2,3,1,3,3,3,2,2,2,3,4,4,3,2,3,1,0.925,0.995,11,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team10\team10a\Foundation
12,fall2014/spring2015,f14a_cash_doctor,724,2671,2950,2950,2.95,N,N,H,H,N,N,H,N,L,N,N,N,H,H,H,VH,N,N,N,N,VH,N,2,4,3,3,3,2,4,1,2,1,1,2,2,2,2,4,3,2,2,2,1,0.9,1.025,9,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team12\team12b\team12\FinalDeliverables
3,fall2014/spring2015,s15b_snap_valet,302.5,5552,10232,552,0.552,H,H,L,H,L,N,H,N,VH,N,N,N,L,H,H,H,L,VH,L,VH,EXH,N,3,2,3,2,1,2,3,1,3,3,3,2,3,2,3,4,4,3,2,2,1,0.925,0.965,9,C:\Users\Kan Qi\Google Drive\ResearchSpace\Repositories\577 projects\fall2014\projects\team03\team03a\[18] As Built Package
1,spring2014,s14b_location_based_ad,3680,N/A,N/A,21344,21.344,N,N,H,H,N,N,H,H,N,H,N,N,N,H,N,VL,L,N,N,N,H,N,3,4,5,4,3,5,3,5,4,4,2,2,4,0,4,3,3,1,1,4,3,1.12,1.325,14,N/A
