id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Administrator,0,0,0,0,0,0
2,Transaction Log Page,0,0,0,0,0,0
3,Enter username and password,0,0,0,0,0,0
4,display partner list,0,0,0,0,0,0
5,Direct to modify,0,0,0,0,0,0
6,Retrieve and print,0,0,0,0,0,0
7,Employee,0,0,0,0,0,0
8,Invoke,0,0,0,0,0,0
9,account,0,0,0,0,0,0
10,Click cancel button,0,0,0,0,0,0
11,Coupon Successfully Redeemed Popup Message,0,0,0,0,0,0
12,Search,0,0,0,0,0,0
13,EmailNotificationController,0,0,0,0,0,0
14,Bills,0,0,0,0,0,0
15,Trip plans database table,0,0,0,0,0,0
16,Validate/check,0,0,0,0,0,0
17,Geo fence,0,0,0,0,0,0
18,Save it later,0,0,0,0,0,0
19,Scan QR Code,0,0,0,0,0,0
20,Sort coupons from far to close,0,0,0,0,0,0
21,Create a category,0,0,0,0,0,0
22,Marked as Subscirpted,0,0,0,0,0,0
23,Proceed,0,0,0,0,0,0
24,FT sales rep,0,0,0,0,0,0
25,Link offers,0,0,0,0,0,0
26,Test,0,0,0,0,0,0
27,FTSR,0,0,0,0,0,0
28,File Chooser Windows,0,0,0,0,0,0
29,Photos,0,0,0,0,0,0
30,Main screen,0,0,0,0,0,0
31,Error prompting box,0,0,0,0,0,0
32,Map,0,0,0,0,0,0
