NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,SWTI,SWTII,SWTIII
1,Admin Login,19,40,0,38,15,13,10,0,0,0,0,0,0,0,19,0,0,22.75,0,0,0,0,0,75,19,19.2812,107.5425,77.39370000000001
2,Bill partner for redemption transaction,38,29,0,25,9,5,11,0,0,0,0,2,0,0,36,2,146,12.4125,80,127,1812.225,0,0,178,38,38.56240000000002,280.34979999999996,236.34539999999993
3,Delete Partner Account,7,17,0,15,2,3,10,0,0,0,0,1,0,0,6,1,33,14.333333333333334,15,26,473,0,0,27,7,7.1036,31.2587,25.9476
4,Notify Partner of Redemption,17,29,0,26,17,7,2,0,0,1,0,1,0,1,16,1,130,18.649122807017545,57,113,2424.385964912281,0,0,67,17,17.251599999999996,129.9946,117.81810000000004
5,Reactive Partner Account,7,14,0,11,4,3,4,0,0,2,0,2,0,2,5,2,17,6.3125,8,13.5,107.3125,0,0,26,7,7.1036,30.376499999999997,22.2301
6,Resolve Dispute,30,23,0,21,3,9,9,0,0,0,0,0,0,0,30,0,0,11.645454545454545,0,0,0,0,0,124,30,30.44400000000001,198.97519999999994,143.33650000000011
7,Suspend Partner Account Storyboard,16,26,0,23,5,7,11,0,0,1,0,2,0,1,14,2,39.5,7.222222222222222,22.5,31.5,285.27777777777777,0,0,64,16,16.236799999999995,63.766200000000005,55.481300000000026
8,Validate Redemption Password,1,17,0,16,6,6,4,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,4,1,1.0148,3.0116,2.0123
9,View Partner Billing status storyboard,18,14,0,13,4,5,4,0,0,0,0,0,0,0,18,0,0,8.444444444444445,0,0,0,0,0,72,18,18.266399999999997,113.1268,98.09790000000004
10,View Transaction Log,12,21,0,20,13,2,5,0,0,0,0,0,0,0,12,0,0,14.68,0,0,0,0,0,48,12,12.177599999999996,53.55949999999999,33.1611
11,View redemption statistics for partner storyboard,59,23,0,21,7,10,4,0,0,0,0,2,0,0,57,2,222,7.520446096654275,134.5,192.5,1669.5390334572492,0,0,308,59,59.87320000000004,406.2505999999996,375.47969999999975
12,Connect to trip plan - Android,2,13,0,12,3,5,4,0,0,0,0,0,0,0,2,0,0,3.625,0,0,0,0,0,10,2,2.0296,7.0691,5.0261
