id,path,functional,transactional,path_length,diagram,useCase
1,Employee->Check GPS->Geo fence->Coupon Notification Popup Window,FUNC_NA,CTRL|EXTCLL|INT,undefined,Receive Coupon,Receive Coupon - iOS
2,Employee->Check GPS->GPS not work page,FUNC_NA,CTRL|EXTCLL|INT,undefined,Receive Coupon,Receive Coupon - iOS
3,Employee->Coupon Notification Popup Window->Save it later->Local coupon database,EI,CTRL|DM|EI,undefined,Receive Coupon,Receive Coupon - iOS
4,Employee->Coupon Notification Popup Window->Redeem,FUNC_NA,TRAN_NA,undefined,Receive Coupon,Receive Coupon - iOS
5,Employee->Coupon Notification Popup Window->Cancel,FUNC_NA,TRAN_NA,undefined,Receive Coupon,Receive Coupon - iOS
6,Employee->check internet->Geo fence->Coupon Notification Popup Window,FUNC_NA,CTRL|EXTCLL|INT,undefined,Receive Coupon,Receive Coupon - iOS
7,Employee->check internet->Coupon Notification Popup Window,FUNC_NA,CTRL|EXTCLL|INT,undefined,Receive Coupon,Receive Coupon - iOS
8,Employee->check internet->Fail to connect internet page,FUNC_NA,CTRL|EXTCLL|INT,undefined,Receive Coupon,Receive Coupon - iOS
9,Ad server->Coupon Retrieve Page->Retrieve specific partner's coupon information->Coupon Notification Popup Window,EQ,CTRL|INT,undefined,Receive Coupon,Receive Coupon - iOS
10,Ad server->Coupon Retrieve Page->Retrieve specific partner's coupon information->Server Partner - coupon database,EI,CTRL|DM|EI,undefined,Receive Coupon,Receive Coupon - iOS
