id,element,useCase,type,component
1,User:Program is updated message,Create sensor instructions,control,Compilingprogressbar
2,User:sensor instruction create panel,Create sensor instructions,entity,sensorinstructioncreatepanel
3,User:parameter set dialog,Create sensor instructions,control,parametersetdialog
4,save parameters:Program is updated message,Create sensor instructions,control,Compilingprogressbar
5,change the parameters of the elements:save parameters,Create sensor instructions,control,parametersetdialog
6,parameter set dialog:change the parameters of the elements,Create sensor instructions,control,parametersetdialog
7,display the dragged and dropped instructions:popup parameter change dialog,Create sensor instructions,control,parametersetdialog
8,sensor instruction create panel:display the dragged and dropped instructions,Create sensor instructions,entity,sensorinstructioncreatepanel
9,popup parameter change dialog:parameter set dialog,Create sensor instructions,control,parametersetdialog
10,save parameters:sensor,Create sensor instructions,entity,sensorinstructioncreatepanel
11,stl#User:Program is updated message,Create sensor instructions,Stimulus,undefined
12,stl#User:sensor instruction create panel,Create sensor instructions,Stimulus,undefined
13,stl#User:parameter set dialog,Create sensor instructions,Stimulus,undefined
