id,element,useCase,type,component
1,User:Input information,update User's info,control,Accessallstudentinformation
2,User:Homepage,update User's info,control,Homepage
3,User:Choose one user and update,update User's info,boundary,teacher
4,User:Choose one user and update,update User's info,boundary,teacher
5,User:Input information,update User's info,control,Accessallstudentinformation
6,User:Manage resource button,update User's info,control,Manageresourcesbutton
7,Choose one user and update:Update information in database,update User's info,entity,Database
8,Choose one user and update:Update information in database,update User's info,entity,Database
9,Update information in database:Database,update User's info,entity,Database
10,Update information in database:Homepage,update User's info,control,Homepage
11,Input information:Update information in database,update User's info,entity,Database
12,Input information:Update information in database,update User's info,entity,Database
13,Manage resource button:Show list of information,update User's info,control,Accessallstudentinformation
14,Show list of information:Update information in database,update User's info,entity,Database
15,stl#User:Input information,update User's info,Stimulus,undefined
16,stl#User:Homepage,update User's info,Stimulus,undefined
17,stl#User:Choose one user and update,update User's info,Stimulus,undefined
18,stl#User:Choose one user and update,update User's info,Stimulus,undefined
19,stl#User:Input information,update User's info,Stimulus,undefined
20,stl#User:Manage resource button,update User's info,Stimulus,undefined
