id,element,useCase,type,component
1,User:Click Continue button,provide information,boundary,clicksnext
2,User:Click on Civilian or veteran radio button,provide information,boundary,clicksnext
3,User:Click Continue button,provide information,boundary,clicksnext
4,User:User does not select any radio button,provide information,boundary,User
5,System loads and displays first scenario:Browser alerts user that they have not selected any option,provide information,control,Showsdatabaseinformation
6,User does not select any radio button:Browser alerts user that they have not selected any option,provide information,control,Showsdatabaseinformation
7,Click Continue button:Browser alerts user that they have not selected any option,provide information,control,Showsdatabaseinformation
8,Click Continue button:System loads and displays first scenario,provide information,control,readsscenariomemo
9,Click on Civilian or veteran radio button:System loads and displays first scenario,provide information,control,readsscenariomemo
10,stl#User:Click Continue button,provide information,Stimulus,undefined
11,stl#User:Click on Civilian or veteran radio button,provide information,Stimulus,undefined
12,stl#User:Click Continue button,provide information,Stimulus,undefined
13,stl#User:User does not select any radio button,provide information,Stimulus,undefined
