id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,User,0,0,0,0,0,0
2,Hashtag icon,0,0,0,0,0,0
3,Search Result,0,0,0,0,0,0
4,Hashtag input box,0,0,0,0,0,0
5,Picture Display,0,0,0,0,0,0
6,Show hashtag text input,0,0,0,0,0,0
7,Search,0,0,0,0,0,0
8,shows the  pictures clicked,0,0,0,0,0,0
9,Picture,0,0,0,0,0,0
10,shows the search result,0,0,0,0,0,0
11,user list filter box,0,0,0,0,0,0
12,Filtered List of Users,0,0,0,0,0,0
13,Query Users List Button,0,0,0,0,0,0
14,Filter users,0,0,0,0,0,0
15,query user list,0,0,0,0,0,0
16,Admin,0,0,0,0,0,0
17,System Setting Page,0,0,0,0,0,0
18,Click system setting button,0,0,0,0,0,0
19,Load system setting page,0,0,0,0,0,0
20,Store System Settings,0,0,0,0,0,0
21,System Settings,0,0,0,0,0,0
22,Private Event Name and Password Input,0,0,0,0,0,0
23,Warning Information of Duplicate,0,0,0,0,0,0
24,Check the presence of the event,0,0,0,0,0,0
25,Create the private event,0,0,0,0,0,0
26,Event,0,0,0,0,0,0
27,Public Event Name Field,0,0,0,0,0,0
28,Check presence of the event,0,0,0,0,0,0
29,Create the public event,0,0,0,0,0,0
30,Public Event,0,0,0,0,0,0
31,Confirm Box,0,0,0,0,0,0
32,Delete Event Button,0,0,0,0,0,0
33,Close warning and delete event,0,0,0,0,0,0
34,Delete Picture,0,0,0,0,0,0
35,Show warning of deletion,0,0,0,0,0,0
36,Delete Button,0,0,0,0,0,0
37,close the prompt and delete the picture,0,0,0,0,0,0
38,Shows confirm prompt,0,0,0,0,0,0
39,Click the number of pictures posted per month,0,0,0,0,0,0
40,The number of pictures per month,0,0,0,0,0,0
41,Search pictures posted in the month,0,0,0,0,0,0
42,Pictures,0,0,0,0,0,0
43,The total number of likes,0,0,0,0,0,0
44,Heart Icon on a picture,0,0,0,0,0,0
45,Store the like information,0,0,0,0,0,0
46,Like Information,0,0,0,0,0,0
47,Check username and password,0,0,0,0,0,0
48,Facebook Service,0,0,0,0,0,0
49,App Main Page,0,0,0,0,0,0
50,Login Page,0,0,0,0,0,0
51,Logout Button,0,0,0,0,0,0
52,Clear Local Storage and Exit,0,0,0,0,0,0
53,Local Storage,0,0,0,0,0,0
54,Options to post,0,0,0,0,0,0
55,Camera Icon,0,0,0,0,0,0
56,gallery application,0,0,0,0,0,0
57,Camera App,0,0,0,0,0,0
58,opens up the gallery application,0,0,0,0,0,0
59,Event and caption Input,0,0,0,0,0,0
60,show picture and options to post nearby or to an event,0,0,0,0,0,0
61,Launch Camera Application,0,0,0,0,0,0
62,show a text box for user to input event name,0,0,0,0,0,0
63,store picture in the event,0,0,0,0,0,0
64,shows the picture and text box for caption,0,0,0,0,0,0
65,retrive user's location and posts the picture at location,0,0,0,0,0,0
66,text box for user to input name,0,0,0,0,0,0
67,Register Page,0,0,0,0,0,0
68,Warning Invalid Information,0,0,0,0,0,0
69,Check User Information,0,0,0,0,0,0
70,Report icon on the picture,0,0,0,0,0,0
71,report confirm dialog,0,0,0,0,0,0
72,prompot confirm,0,0,0,0,0,0
73,store report information,0,0,0,0,0,0
74,report information,0,0,0,0,0,0
75,Picture restore button,0,0,0,0,0,0
76,Restore reported picture,0,0,0,0,0,0
77,Report,0,0,0,0,0,0
78,Download button,0,0,0,0,0,0
79,download to phone,0,0,0,0,0,0
80,List of Events,0,0,0,0,0,0
81,Search box of events,0,0,0,0,0,0
82,Search events by name,0,0,0,0,0,0
83,Image Filter Box,0,0,0,0,0,0
84,Query Picture List,0,0,0,0,0,0
85,List of pictures,0,0,0,0,0,0
86,Filter Pictures,0,0,0,0,0,0
87,retrive the list of picture,0,0,0,0,0,0
88,Sorting options,0,0,0,0,0,0
89,Sorted List of Pictures,0,0,0,0,0,0
90,Filter Icon,0,0,0,0,0,0
91,Display sorting options,0,0,0,0,0,0
92,sort the picture,0,0,0,0,0,0
93,Confirm Dialog,0,0,0,0,0,0
94,User List,0,0,0,0,0,0
95,Click user suspend button,0,0,0,0,0,0
96,Prompt confirm dialog,0,0,0,0,0,0
97,Suspend User,0,0,0,0,0,0
98,The heart icon on picture,0,0,0,0,0,0
99,Total Number of Likes,0,0,0,0,0,0
100,remove the user liking information,0,0,0,0,0,0
101,Event Information Update Page,0,0,0,0,0,0
102,Event List,0,0,0,0,0,0
103,Event Update Button,0,0,0,0,0,0
104,Update Event Information,0,0,0,0,0,0
105,retrieve events,0,0,0,0,0,0
106,Prompt Event Update Dialog,0,0,0,0,0,0
107,Radius Setting Button,0,0,0,0,0,0
108,Search pictures by radius,0,0,0,0,0,0
109,Picture Gallery,0,0,0,0,0,0
110,retrieve picture details,0,0,0,0,0,0
