id,path,functional,transactional,path_length,diagram,useCase
1,Admin->Course management page->verify course information->save course info->course,EI,CTRL|DM|EI,undefined,Modify course,Modify course
2,Admin->Course management page->verify course information->Invalid course information,EQ,CTRL|INT,undefined,Modify course,Modify course
3,Admin->Course management page->Redirect to home page->home page,EQ,CTRL|INT,undefined,Modify course,Modify course
