   NUM    variable    value
1   13      Effort  257.500
2    6      Effort 1281.000
3    9      Effort 1347.000
4    4      Effort  266.000
5    5      Effort  140.500
6   19      Effort  268.500
7   11      Effort 1965.000
8    2      Effort  482.000
9    1      Effort  724.000
10  14      Effort  263.000
11  10      Effort  302.500
12   3      Effort  571.000
13  12      Effort  804.500
14   7      Effort 1482.500
15  16      Effort 1392.000
16  17      Effort 1592.000
17   8      Effort  617.000
18  20      Effort 3113.000
19  15      Effort  737.000
20  18      Effort 3680.000
21  13       KSLOC    1.500
22   6       KSLOC    7.593
23   9       KSLOC    3.679
24   4       KSLOC    0.730
25   5       KSLOC    3.200
26  19       KSLOC    2.258
27  11       KSLOC    6.415
28   2       KSLOC    6.569
29   1       KSLOC    2.950
30  14       KSLOC    7.250
31  10       KSLOC    0.552
32   3       KSLOC    8.116
33  12       KSLOC    7.365
34   7       KSLOC    1.386
35  16       KSLOC    4.710
36  17       KSLOC    8.209
37   8       KSLOC    5.129
38  20       KSLOC    8.059
39  15       KSLOC    3.120
40  18       KSLOC   21.344
41  13 UseCase_Num    5.000
42   6 UseCase_Num    7.000
43   9 UseCase_Num    8.000
44   4 UseCase_Num    8.000
45   5 UseCase_Num    8.000
46  19 UseCase_Num    8.000
47  11 UseCase_Num    9.000
48   2 UseCase_Num   10.000
49   1 UseCase_Num   10.000
50  14 UseCase_Num   10.000
51  10 UseCase_Num   11.000
52   3 UseCase_Num   13.000
53  12 UseCase_Num   16.000
54   7 UseCase_Num   18.000
55  16 UseCase_Num   12.000
56  17 UseCase_Num   24.000
57   8 UseCase_Num   24.000
58  20 UseCase_Num   24.000
59  15 UseCase_Num   28.000
60  18 UseCase_Num   47.000
61  13        Type    1.000
62   6        Type    2.000
63   9        Type    2.000
64   4        Type    2.000
65   5        Type    2.000
66  19        Type    2.000
67  11        Type    2.000
68   2        Type    1.000
69   1        Type    1.000
70  14        Type    2.000
71  10        Type    1.000
72   3        Type    2.000
73  12        Type    2.000
74   7        Type    1.000
75  16        Type    3.000
76  17        Type    3.000
77   8        Type    2.000
78  20        Type    3.000
79  15        Type    4.000
80  18        Type    1.000
    NUM        variable      value
1    13       UEUCW_ALY   75.00000
2     6       UEUCW_ALY  320.00000
3     9       UEUCW_ALY  465.00000
4     4       UEUCW_ALY  120.00000
5     5       UEUCW_ALY  120.00000
6    19       UEUCW_ALY  120.00000
7    11       UEUCW_ALY  465.00000
8     2       UEUCW_ALY  150.00000
9     1       UEUCW_ALY  150.00000
10   14       UEUCW_ALY  150.00000
11   10       UEUCW_ALY  165.00000
12    3       UEUCW_ALY  195.00000
13   12       UEUCW_ALY  240.00000
14    7       UEUCW_ALY  595.00000
15   16       UEUCW_ALY  180.00000
16   17       UEUCW_ALY  360.00000
17    8       UEUCW_ALY  360.00000
18   20       UEUCW_ALY  595.00000
19   15       UEUCW_ALY  420.00000
20   18       UEUCW_ALY  705.00000
21   13      UEXUCW_ALY   58.00000
22    6      UEXUCW_ALY  356.00000
23    9      UEXUCW_ALY  621.00000
24    4      UEXUCW_ALY  172.00000
25    5      UEXUCW_ALY   99.00000
26   19      UEXUCW_ALY  109.00000
27   11      UEXUCW_ALY  621.00000
28    2      UEXUCW_ALY  215.00000
29    1      UEXUCW_ALY  128.00000
30   14      UEXUCW_ALY  126.00000
31   10      UEXUCW_ALY  320.00000
32    3      UEXUCW_ALY  219.00000
33   12      UEXUCW_ALY  177.00000
34    7      UEXUCW_ALY  521.00000
35   16      UEXUCW_ALY  248.00000
36   17      UEXUCW_ALY  293.00000
37    8      UEXUCW_ALY  258.00000
38   20      UEXUCW_ALY  641.00000
39   15      UEXUCW_ALY  142.00000
40   18      UEXUCW_ALY  701.00000
41   13       UDUCW_ALY   47.00000
42    6       UDUCW_ALY  387.00000
43    9       UDUCW_ALY  678.00000
44    4       UDUCW_ALY   98.00000
45    5       UDUCW_ALY   90.00000
46   19       UDUCW_ALY  101.00000
47   11       UDUCW_ALY  678.00000
48    2       UDUCW_ALY  223.00000
49    1       UDUCW_ALY  121.00000
50   14       UDUCW_ALY   99.00000
51   10       UDUCW_ALY  314.00000
52    3       UDUCW_ALY  259.00000
53   12       UDUCW_ALY  138.00000
54    7       UDUCW_ALY  478.00000
55   16       UDUCW_ALY  256.00000
56   17       UDUCW_ALY  260.00000
57    8       UDUCW_ALY  223.00000
58   20       UDUCW_ALY  688.00000
59   15       UDUCW_ALY  129.00000
60   18       UDUCW_ALY  777.00000
61   13             UAW    6.00000
62    6             UAW    6.00000
63    9             UAW    9.00000
64    4             UAW    9.00000
65    5             UAW   12.00000
66   19             UAW    6.00000
67   11             UAW    9.00000
68    2             UAW    9.00000
69    1             UAW    9.00000
70   14             UAW   11.00000
71   10             UAW    9.00000
72    3             UAW    9.00000
73   12             UAW    9.00000
74    7             UAW    6.00000
75   16             UAW   12.00000
76   17             UAW    6.00000
77    8             UAW    9.00000
78   20             UAW    8.00000
79   15             UAW    3.00000
80   18             UAW   14.00000
81   13             TCF    0.92500
82    6             TCF    1.11500
83    9             TCF    1.13500
84    4             TCF    0.85500
85    5             TCF    0.85500
86   19             TCF    0.91500
87   11             TCF    0.93500
88    2             TCF    0.83500
89    1             TCF    0.90000
90   14             TCF    0.92500
91   10             TCF    0.92500
92    3             TCF    0.88000
93   12             TCF    0.89000
94    7             TCF    0.92500
95   16             TCF    1.13500
96   17             TCF    0.94000
97    8             TCF    0.80500
98   20             TCF    0.94000
99   15             TCF    1.17500
100  18             TCF    1.12000
101  13              EF    1.04000
102   6              EF    1.09500
103   9              EF    0.99500
104   4              EF    1.02500
105   5              EF    1.02500
