id,path,functional,transactional,path_length,diagram,useCase
1,User->Build button->compile with C++->C++ compiler,FUNC_NA,CTRL|EXTIVK,undefined,Translate to C,Translate to C
2,User->Build button->compile with C++->compile success message,EQ,CTRL|INT,undefined,Translate to C,Translate to C
